0: [[6, 3, 1, 4], [5, 10, 2, 12], [7, 8, 9, 11, 13]]
1: [[6, 3, 1, 4], [5, 10, 2, 12], [7, 8, 9, 11, 13]]
2: [[6, 3, 1, 4], [5, 10, 2, 12], [7, 8, 9, 11, 13]]
3: [[6, 3, 1, 4], [5, 10, 2, 12], [7, 8, 9, 11, 13]]
4: [[6, 3, 1, 4], [5, 10, 2, 12], [7, 8, 9, 11, 13]]
5: [[6, 3, 1, 4], [5, 10, 2, 12], [7, 8, 9, 11, 13]]
6: [[6, 3, 1, 4], [5, 10, 2, 12], [7, 8, 9, 11, 13]]
7: [[6, 3, 1, 4], [5, 10, 2], [12, 7, 8, 9, 11, 13]]
8: [[6, 3, 1, 4], [5, 10, 2], [12, 7, 8, 9, 11], [13]]
9: [[6, 3, 1], [4, 5, 10, 2, 12], [7, 8, 9, 11, 13]]
10: [[6, 3, 1], [4, 5, 10, 2, 12], [7, 8, 9, 11, 13]]
11: [[6, 3], [1, 4, 5, 10, 2], [12, 7, 8, 9, 11, 13]]
12: [[6, 3, 1], [4, 5, 10, 2], [12, 7, 8, 9, 11, 13]]
13: [[6, 3, 1, 4], [5, 10, 2, 12], [7, 8], [9, 11, 13]]
14: [[6, 3, 1, 4], [5, 10, 2, 12], [7, 8], [9, 11, 13]]
15: [[6, 3, 1, 4], [5, 10, 2, 12], [7, 8], [9, 11, 13]]
16: [[6, 3, 1, 4], [5, 10, 2, 12, 7], [8, 9, 11, 13]]
17: [[6, 3, 1, 4], [5, 10, 2, 12, 7], [8, 9, 11, 13]]
18: [[6, 3, 1, 4, 5], [10, 2, 12, 7], [8, 9, 11, 13]]
19: [[6, 3, 1, 4, 5], [10, 2, 12, 7], [8, 9, 11, 13]]
20: [[6, 3, 1], [4, 5, 10, 2], [12, 7], [8, 9, 11, 13]]
21: [[6, 3, 1, 4], [5, 10, 2, 12], [7, 8, 9], [11, 13]]
22: [[6, 3, 1], [4, 5, 10, 2, 12], [7, 8], [9, 11, 13]]
23: [[6, 3, 1, 4], [5, 10, 2, 12, 7, 8, 9], [11, 13]]
24: [[6, 3, 1, 4, 5, 10], [2, 12], [7, 8, 9], [11, 13]]
25: [[6, 3, 1], [4, 5, 10, 2, 12, 7, 8, 9], [11, 13]]
26: [[6, 3, 1], [4, 5], [10, 2, 12, 7], [8, 9, 11, 13]]
27: [[6, 3], [1, 4, 5, 10, 2, 12, 7, 8, 9], [11, 13]]
