0: [[1, 8, 2, 3], [14, 4], [6, 7, 5, 13, 10, 9], [12, 11], [15, 16, 18, 19, 17, 20]]
1: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
2: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
3: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
4: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
5: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
6: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
7: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
8: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
9: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
10: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
11: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
12: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
13: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
14: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
15: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
16: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
17: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
18: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
19: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
20: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
21: [[1, 8, 2, 3, 4], [14, 6], [9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
22: [[1, 8, 2, 3, 4], [14, 6], [9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
23: [[1, 8, 2, 3, 4], [14, 6], [9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
24: [[1, 8, 2, 3, 4], [14, 6], [9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
25: [[1, 8, 2, 3, 4], [14, 6], [9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
26: [[1, 8, 2, 3, 4], [14, 6], [9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
27: [[1, 8, 2, 3, 4], [14, 6], [9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
28: [[1, 8, 2, 3, 4], [14, 6], [9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
29: [[1, 8, 2, 3, 4], [14, 6], [9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
30: [[1, 8, 3], [2, 4], [14, 6, 9, 7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
31: [[3, 1, 8, 2, 14, 4], [9, 6], [7, 5, 13, 10], [12, 11], [15, 16, 18, 19, 17, 20]]
32: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10, 12], [11, 15], [16, 18, 19, 17, 20]]
33: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10, 12], [11, 15], [16, 18, 19, 17, 20]]
34: [[1, 8, 2, 3], [14, 4], [6, 9, 7, 5, 13, 10, 12], [11, 15], [16, 18, 19, 17, 20]]
35: [[1, 8, 2, 3, 4], [14, 6], [9, 7, 5, 13, 10, 12], [11, 15], [16, 18, 19, 17, 20]]
36: [[1, 8, 2, 3, 4], [14, 6], [9, 7, 5, 13, 10, 12], [11, 15], [16, 18, 19, 17, 20]]
37: [[1, 8, 2, 3, 4], [14, 6], [9, 7, 5, 13, 10, 12], [11, 15], [16, 18, 19, 17, 20]]
38: [[1, 8, 3, 2], [4, 14], [6, 9, 7, 5, 13], [10, 12], [11, 15, 16, 18, 19, 17, 20]]
39: [[1, 8, 3], [2, 4], [14, 6, 9, 7, 5, 13, 10, 12], [11, 15], [16, 18, 19, 17, 20]]
40: [[3, 1], [8, 2], [4, 14, 6, 9, 7, 5, 13], [10, 12], [11, 15, 16, 18, 19, 17, 20]]
41: [[1, 8, 3], [4, 2], [14, 6, 9, 7, 5, 13], [10, 12], [11, 15, 16, 18, 19, 17, 20]]
