,mq,No. Clus,Max clus,Min clus
0,1.858918858918859,5,5,2
1,1.858918858918859,5,5,2
2,1.858918858918859,5,5,2
3,1.858918858918859,5,5,2
4,1.858918858918859,5,5,2
5,1.858918858918859,5,5,2
6,1.858918858918859,5,5,2
7,1.858918858918859,5,5,2
8,1.858918858918859,5,5,2
9,1.858918858918859,5,5,2
10,1.858918858918859,5,5,2
11,1.858918858918859,5,5,2
12,1.858918858918859,5,5,2
13,1.858918858918859,5,5,2
14,1.858918858918859,5,5,2
15,1.858918858918859,5,5,2
16,1.858918858918859,5,5,2
17,1.858918858918859,5,5,2
18,1.858918858918859,5,5,2
19,1.858918858918859,5,5,2
20,1.858918858918859,5,5,2
21,1.858918858918859,5,5,2
22,1.858918858918859,5,5,2
23,1.858918858918859,5,5,2
24,1.858918858918859,5,5,2
25,1.858918858918859,5,5,2
26,1.858918858918859,5,5,2
27,1.858918858918859,5,5,2
28,1.858918858918859,5,5,2
29,1.858918858918859,5,5,2
30,1.858918858918859,5,5,2
31,1.858918858918859,5,5,2
32,1.858918858918859,5,5,2
33,1.858918858918859,5,5,2
34,1.858918858918859,5,5,2
35,1.858918858918859,5,5,2
36,1.858918858918859,5,5,2
37,1.858918858918859,5,5,2
38,1.858918858918859,5,5,2
39,1.858918858918859,5,5,2
40,1.858918858918859,5,5,2
41,1.858918858918859,5,5,2
