0: [[8, 7, 2, 5, 1], [3, 14, 6, 4, 10], [12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
1: [[8, 7, 2, 5, 1], [3, 14, 6, 4, 10], [12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
2: [[8, 7, 2, 5, 1], [3, 14, 6, 4, 10], [12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
3: [[8, 7, 2, 5, 1], [3, 14, 6, 4, 10], [12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
4: [[8, 7, 2, 5, 1], [3, 14, 6, 4, 10], [12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
5: [[8, 7, 2, 5, 1], [3, 14, 6, 4, 10], [12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
6: [[8, 7, 2, 5, 1], [3, 14, 6, 4, 10], [12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
7: [[8, 7, 2, 5, 1], [3, 14, 6, 4, 10], [12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
8: [[8, 7, 2, 5, 1], [3, 14, 6, 4, 10], [12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
9: [[8, 7, 2, 5, 1], [3, 14, 6, 4, 10], [12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
10: [[8, 7, 2, 5, 1], [3, 14, 6, 4], [10, 12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
11: [[8, 7, 2, 5, 1], [3, 14, 6, 4], [10, 12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
12: [[8, 7, 2, 5, 1], [3, 14, 6, 4], [10, 12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
13: [[8, 7, 2, 5, 1], [3, 14, 6, 4], [10, 12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
14: [[8, 7, 2, 5, 1], [3, 14, 6, 4], [10, 12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
15: [[8, 7, 2, 5, 1], [3, 14, 6, 4], [10, 12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
16: [[8, 7, 2, 5, 1], [3, 14, 6, 4], [10, 12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
17: [[8, 7, 2, 5], [1, 3, 14, 6, 4, 10], [12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
18: [[8, 7, 2, 5], [1, 3, 14, 6, 4, 10], [12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
19: [[8, 7, 2, 5, 1, 3], [14, 6, 4, 10], [12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
20: [[8, 7, 2, 5], [1, 3, 14, 6, 4], [10, 12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
21: [[8, 7, 2, 5], [1, 3, 14, 6, 4], [10, 12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
22: [[8, 7, 2, 5], [1, 3, 14, 6, 4], [10, 12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
23: [[8, 7, 2, 5], [1, 3, 14, 6, 4], [10, 12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
24: [[8, 7, 2, 5], [1, 3, 14, 6, 4], [10, 12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
25: [[8, 7, 2, 5], [1, 3, 14, 6, 4], [10, 12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
26: [[8, 7, 2, 5], [1, 3, 14, 6, 4, 10], [12, 13, 9, 11, 15], [16, 18, 17, 19, 20]]
27: [[8, 7, 2, 5, 1], [3, 14, 6, 4], [10, 12, 13, 9], [11, 15, 16, 18, 17, 19, 20]]
28: [[8, 7, 2, 5], [1, 3, 14, 6, 4, 10], [12, 13, 9, 11, 15], [16, 18, 17, 19, 20]]
29: [[8, 7, 2, 5, 1], [3, 14, 6, 4], [10, 12, 13, 9], [11, 15, 16, 18, 17, 19, 20]]
30: [[8, 7, 2, 5], [1, 3, 14, 6], [4, 10, 12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
31: [[8, 7, 2, 5, 1], [3, 14, 6, 4, 10], [12, 13, 9], [11, 15, 16, 18, 17, 19, 20]]
32: [[8, 7, 2, 5, 1], [3, 14, 6, 4, 10], [12, 13, 9], [11, 15, 16, 18, 17, 19, 20]]
33: [[8, 7, 2, 5, 1], [3, 14, 6], [4, 10, 12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
34: [[8, 7, 2, 5, 1, 3], [14, 6, 4, 10], [12, 13, 9], [11, 15, 16, 18, 17, 19, 20]]
35: [[8, 7, 2, 5, 1], [3, 14, 6], [4, 10, 12, 13, 9, 11], [15, 16, 18, 17, 19, 20]]
36: [[8, 7, 2, 5, 1, 3], [14, 6, 4, 10, 12], [13, 9, 11], [15, 16, 18, 17, 19, 20]]
37: [[8, 7, 2], [5, 1, 3, 14, 6, 4], [10, 12, 13, 9, 11, 15], [16, 18, 17, 19, 20]]
38: [[8, 7, 2], [5, 1, 3, 14, 6, 4], [10, 12, 13, 9], [11, 15, 16, 18, 17, 19, 20]]
39: [[8, 7, 2, 5, 1], [3, 14, 6], [4, 10, 12, 13, 9], [11, 15, 16, 18, 17, 19, 20]]
40: [[8, 7, 2, 5, 1], [3, 14, 6, 4, 10, 12], [13, 9, 11, 15], [16, 18, 17, 19, 20]]
41: [[8, 7, 2, 5, 1, 3], [14, 6, 4, 10, 12], [13, 9, 11, 15], [16, 18, 17, 19, 20]]
