No_gen, Best, MQ, No_clus, max_clus, min_clus
0,0.8868434838750937,0.9910282953761215,4,4,3
1,0.8868434838750937,0.9910282953761215,4,4,3
2,0.9782256150735265,1.1174825174825176,4,4,3
3,1.0776495356408897,1.255064935064935,4,4,3
4,1.0776495356408897,1.255064935064935,4,4,3
5,1.0776495356408897,1.255064935064935,4,4,3
6,1.0776495356408897,1.255064935064935,4,4,3
7,1.0776495356408897,1.255064935064935,4,4,3
8,1.0776495356408897,1.255064935064935,4,4,3
9,1.0776495356408897,1.255064935064935,4,4,3
10,1.0776495356408897,1.255064935064935,4,4,3
11,1.0776495356408897,1.255064935064935,4,4,3
12,1.0776495356408897,1.255064935064935,4,4,3
13,1.0776495356408897,1.255064935064935,4,4,3
14,1.0776495356408897,1.255064935064935,4,4,3
15,1.0776495356408897,1.255064935064935,4,4,3
16,1.0776495356408897,1.255064935064935,4,4,3
17,1.0776495356408897,1.255064935064935,4,4,3
18,1.0776495356408897,1.255064935064935,4,4,3
19,1.0776495356408897,1.255064935064935,4,4,3
20,1.0776495356408897,1.255064935064935,4,4,3
21,1.0776495356408897,1.255064935064935,4,4,3
22,1.0776495356408897,1.255064935064935,4,4,3
23,1.0776495356408897,1.255064935064935,4,4,3
24,1.0776495356408897,1.255064935064935,4,4,3
25,1.0776495356408897,1.255064935064935,4,4,3
26,1.0776495356408897,1.255064935064935,4,4,3
27,1.0776495356408897,1.255064935064935,4,4,3
28,1.0776495356408897,1.255064935064935,4,4,3
29,1.0776495356408897,1.255064935064935,4,4,3
30,1.0776495356408897,1.255064935064935,4,4,3
31,1.0776495356408897,1.255064935064935,4,4,3
32,1.0776495356408897,1.255064935064935,4,4,3
33,1.0776495356408897,1.255064935064935,4,4,3
34,1.0776495356408897,1.255064935064935,4,4,3
35,1.0776495356408897,1.255064935064935,4,4,3
36,1.0776495356408897,1.255064935064935,4,4,3
37,1.0776495356408897,1.255064935064935,4,4,3
38,1.0776495356408897,1.255064935064935,4,4,3
39,1.0776495356408897,1.255064935064935,4,4,3
40,1.0776495356408897,1.255064935064935,4,4,3
41,1.0776495356408897,1.255064935064935,4,4,3
42,1.0776495356408897,1.255064935064935,4,4,3
43,1.0776495356408897,1.255064935064935,4,4,3
44,1.0776495356408897,1.255064935064935,4,4,3
45,1.0776495356408897,1.255064935064935,4,4,3
46,1.0776495356408897,1.255064935064935,4,4,3
47,1.0776495356408897,1.255064935064935,4,4,3
48,1.0776495356408897,1.255064935064935,4,4,3
49,1.0776495356408897,1.255064935064935,4,4,3
50,1.0776495356408897,1.255064935064935,4,4,3
51,1.0776495356408897,1.255064935064935,4,4,3
52,1.0776495356408897,1.255064935064935,4,4,3
53,1.0776495356408897,1.255064935064935,4,4,3
54,1.0776495356408897,1.255064935064935,4,4,3
55,1.0776495356408897,1.255064935064935,4,4,3
56,1.0776495356408897,1.255064935064935,4,4,3
57,1.0776495356408897,1.255064935064935,4,4,3
58,1.0776495356408897,1.255064935064935,4,4,3
59,1.0776495356408897,1.255064935064935,4,4,3
60,1.0776495356408897,1.255064935064935,4,4,3
61,1.0776495356408897,1.255064935064935,4,4,3
62,1.0776495356408897,1.255064935064935,4,4,3
63,1.0776495356408897,1.255064935064935,4,4,3
64,1.0776495356408897,1.255064935064935,4,4,3
65,1.0776495356408897,1.255064935064935,4,4,3
66,1.0776495356408897,1.255064935064935,4,4,3
67,1.0776495356408897,1.255064935064935,4,4,3
68,1.0776495356408897,1.255064935064935,4,4,3
69,1.0776495356408897,1.255064935064935,4,4,3
70,1.0776495356408897,1.255064935064935,4,4,3
71,1.0776495356408897,1.255064935064935,4,4,3
72,1.0776495356408897,1.255064935064935,4,4,3
73,1.0776495356408897,1.255064935064935,4,4,3
74,1.0776495356408897,1.255064935064935,4,4,3
75,1.0776495356408897,1.255064935064935,4,4,3
76,1.0776495356408897,1.255064935064935,4,4,3
77,1.0776495356408897,1.255064935064935,4,4,3
78,1.0776495356408897,1.255064935064935,4,4,3
79,1.0776495356408897,1.255064935064935,4,4,3
80,1.0776495356408897,1.255064935064935,4,4,3
81,1.0776495356408897,1.255064935064935,4,4,3
82,1.0776495356408897,1.255064935064935,4,4,3
83,1.0776495356408897,1.255064935064935,4,4,3
84,1.0776495356408897,1.255064935064935,4,4,3
85,1.0776495356408897,1.255064935064935,4,4,3
86,1.0776495356408897,1.255064935064935,4,4,3
87,1.0776495356408897,1.255064935064935,4,4,3
88,1.0776495356408897,1.255064935064935,4,4,3
89,1.0776495356408897,1.255064935064935,4,4,3
90,1.0776495356408897,1.255064935064935,4,4,3
91,1.0776495356408897,1.255064935064935,4,4,3
92,1.0776495356408897,1.255064935064935,4,4,3
93,1.0776495356408897,1.255064935064935,4,4,3
94,1.0776495356408897,1.255064935064935,4,4,3
95,1.0776495356408897,1.255064935064935,4,4,3
96,1.0776495356408897,1.255064935064935,4,4,3
97,1.0776495356408897,1.255064935064935,4,4,3
98,1.0776495356408897,1.255064935064935,4,4,3
99,1.0776495356408897,1.255064935064935,4,4,3
100,1.0776495356408897,1.255064935064935,4,4,3
101,1.0776495356408897,1.255064935064935,4,4,3
102,1.0776495356408897,1.255064935064935,4,4,3
103,1.0776495356408897,1.255064935064935,4,4,3
104,1.0776495356408897,1.255064935064935,4,4,3
105,1.0776495356408897,1.255064935064935,4,4,3
106,1.0776495356408897,1.255064935064935,4,4,3
107,1.0776495356408897,1.255064935064935,4,4,3
108,1.0776495356408897,1.255064935064935,4,4,3
109,1.0776495356408897,1.255064935064935,4,4,3
110,1.0776495356408897,1.255064935064935,4,4,3
111,1.0776495356408897,1.255064935064935,4,4,3
112,1.0776495356408897,1.255064935064935,4,4,3
113,1.0776495356408897,1.255064935064935,4,4,3
114,1.0776495356408897,1.255064935064935,4,4,3
115,1.0776495356408897,1.255064935064935,4,4,3
116,1.0776495356408897,1.255064935064935,4,4,3
117,1.0776495356408897,1.255064935064935,4,4,3
118,1.0776495356408897,1.255064935064935,4,4,3
119,1.0776495356408897,1.255064935064935,4,4,3
120,1.0776495356408897,1.255064935064935,4,4,3
121,1.0776495356408897,1.255064935064935,4,4,3
122,1.0776495356408897,1.255064935064935,4,4,3
123,1.0776495356408897,1.255064935064935,4,4,3
124,1.0776495356408897,1.255064935064935,4,4,3
125,1.0776495356408897,1.255064935064935,4,4,3
126,1.0776495356408897,1.255064935064935,4,4,3
127,1.0776495356408897,1.255064935064935,4,4,3
128,1.0776495356408897,1.255064935064935,4,4,3
129,1.0776495356408897,1.255064935064935,4,4,3
130,1.0776495356408897,1.255064935064935,4,4,3
131,1.0776495356408897,1.255064935064935,4,4,3
132,1.0776495356408897,1.255064935064935,4,4,3
133,1.0776495356408897,1.255064935064935,4,4,3
134,1.0776495356408897,1.255064935064935,4,4,3
135,1.0776495356408897,1.255064935064935,4,4,3
136,1.0776495356408897,1.255064935064935,4,4,3
137,1.0776495356408897,1.255064935064935,4,4,3
138,1.0776495356408897,1.255064935064935,4,4,3
