0: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
1: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
2: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
3: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
4: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
5: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
6: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
7: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
8: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
9: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
10: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
11: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
12: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
13: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
14: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
15: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
16: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
17: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
18: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
19: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
20: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
21: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
22: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
23: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
24: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
25: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
26: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
27: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
28: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
29: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
30: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
31: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
32: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
33: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
34: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
35: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
36: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
37: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
38: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
39: [[14, 2, 4, 6, 13], [7, 10, 8, 5, 3], [9, 11, 16, 15, 12], [18, 1, 17, 19, 20]]
