0: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
1: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
2: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
3: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
4: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
5: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
6: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
7: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
8: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
9: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
10: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
11: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
12: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
13: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
14: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
15: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
16: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
17: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
18: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
19: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
20: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
21: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
22: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
23: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
24: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
25: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
26: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
27: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
28: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
29: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
30: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
31: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
32: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
33: [[3, 2, 1, 8], [10, 5, 13, 7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
34: [[3, 2, 1, 8, 10, 5, 13], [7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
35: [[3, 2, 1, 8, 10, 5, 13], [7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
36: [[3, 2, 1, 8, 10, 5, 13], [7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
37: [[3, 2, 1, 8, 10, 5, 13], [7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
38: [[3, 2, 1, 8, 10, 5, 13], [7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
39: [[3, 2, 1, 8, 10, 5, 13], [7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
40: [[3, 2, 1, 8, 10, 5, 13], [7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
41: [[3, 2, 1, 8, 10, 5, 13], [7, 12, 11, 9], [16, 14, 6, 4], [19, 15, 18, 20, 17]]
