0: [[7, 2, 13, 12], [3, 1, 4, 5, 10], [9, 6, 8, 11]]
1: [[7, 2, 13, 12], [3, 1, 4, 5, 10], [9, 6, 8, 11]]
2: [[7, 2, 13, 12], [3, 1, 4, 5, 10], [9, 6, 8, 11]]
3: [[7, 2, 13, 12], [3, 1, 4, 5, 10], [9, 6, 8, 11]]
4: [[7, 2, 13, 12], [3, 1, 4, 5, 10], [9, 6, 8, 11]]
5: [[7, 2, 13, 12], [3, 1, 4, 5, 10], [9, 6, 8, 11]]
6: [[7, 2, 13, 12], [3, 1, 4, 5, 10], [9, 6, 8, 11]]
7: [[7, 2, 13, 12], [3, 1, 4, 5, 10], [9, 6, 8, 11]]
8: [[7, 2, 13, 12], [3, 1, 4, 5, 10], [9, 6, 8, 11]]
9: [[7, 2, 13, 12], [3, 1, 4, 5], [10, 9, 6, 8, 11]]
10: [[7, 2, 13, 12], [3, 1, 4, 5], [10, 9, 6, 8, 11]]
11: [[7, 2, 13, 12], [3, 1, 4, 5], [10, 9, 6, 8, 11]]
12: [[7, 2, 13, 12], [3, 1, 4, 5], [10, 9, 6, 8, 11]]
13: [[7, 2, 13, 12], [3, 1, 4, 5], [10, 9, 6, 8, 11]]
14: [[7, 2, 13, 12], [3, 1, 4, 5], [10, 9, 6, 8, 11]]
15: [[7, 2, 13, 12], [3, 1, 4, 5, 10, 9], [6, 8, 11]]
16: [[7, 2, 13, 12], [3, 1, 4, 5, 10, 9], [6, 8, 11]]
17: [[7, 2, 13, 12, 3], [1, 4, 5, 10], [9, 6, 8, 11]]
18: [[7, 2, 13, 12, 3], [1, 4, 5, 10], [9, 6, 8, 11]]
19: [[7, 2, 13, 12, 3], [1, 4, 5, 10], [9, 6, 8, 11]]
20: [[7, 2, 13], [12, 3, 1, 4, 5, 10], [9, 6, 8, 11]]
21: [[7, 2, 13], [12, 3, 1, 4, 5, 10], [9, 6, 8, 11]]
22: [[7, 2, 13, 12], [3, 1, 4], [5, 10, 9, 6, 8, 11]]
23: [[7, 2, 13, 12, 3, 1], [4, 5, 10, 9], [6, 8, 11]]
24: [[7, 2, 13, 12, 3], [1, 4, 5, 10, 9], [6, 8, 11]]
25: [[7, 2, 13], [12, 3, 1, 4, 5], [10, 9, 6, 8, 11]]
26: [[7, 2, 13], [12, 3, 1, 4, 5, 10, 9], [6, 8, 11]]
27: [[7, 2, 13, 12, 3, 1], [4, 5], [10, 9, 6, 8, 11]]
