0: [[9, 7, 6], [1, 11, 3], [2, 8, 4, 5, 10], [13, 12], [14, 15, 16], [18, 17, 19, 20]]
1: [[9, 7, 6], [1, 11, 3], [2, 8, 4, 5, 10], [13, 12], [14, 15, 16], [18, 17, 19, 20]]
2: [[9, 7, 6], [1, 11, 3], [2, 8, 4, 5, 10], [13, 12], [14, 15, 16], [18, 17, 19, 20]]
3: [[9, 7, 6], [1, 11, 3], [2, 8, 4], [5, 10], [13, 12], [14, 15, 16], [18, 17, 19, 20]]
4: [[9, 7, 6], [1, 11, 3], [2, 8], [4, 5, 10], [13, 12, 14, 15, 16], [18, 17, 19, 20]]
5: [[9, 7, 6], [1, 11, 3], [2, 8, 4], [5, 10], [13, 12], [14, 15, 16], [18, 17], [19, 20]]
6: [[9, 7, 6], [1, 11, 3], [2, 8, 4], [5, 10, 13, 12], [14, 15, 16], [18, 17, 19, 20]]
7: [[9, 7, 6], [1, 11, 3], [2, 8], [4, 5, 10, 13], [12, 14, 15], [16, 18, 17, 19, 20]]
8: [[9, 7, 6], [1, 11, 3], [2, 8], [4, 5, 10], [13, 12, 14], [15, 16, 18], [17, 19, 20]]
9: [[9, 7, 6], [1, 11, 3], [2, 8, 4, 5], [10, 13, 12, 14, 15, 16], [18, 17, 19, 20]]
10: [[9, 7, 6], [1, 11, 3], [2, 8], [4, 5], [10, 13, 12], [14, 15, 16, 18], [17, 19, 20]]
11: [[9, 7, 6], [1, 11, 3], [2, 8], [4, 5], [10, 13, 12], [14, 15, 16, 18, 17, 19, 20]]
12: [[9, 7, 6], [1, 11, 3], [2, 8, 4], [5, 10], [13, 12, 14], [15, 16, 18, 17], [19, 20]]
13: [[9, 7], [6, 1], [11, 3, 2, 8], [4, 5, 10], [13, 12], [14, 15, 16], [18, 17, 19, 20]]
14: [[9, 7, 6], [1, 11, 3], [2, 8, 4, 5], [10, 13], [12, 14, 15, 16, 18, 17, 19, 20]]
15: [[9, 7, 6], [1, 11, 3, 2], [8, 4, 5, 10], [13, 12, 14, 15], [16, 18, 17, 19, 20]]
16: [[9, 7, 6], [1, 11], [3, 2, 8], [4, 5, 10], [13, 12], [14, 15], [16, 18, 17, 19, 20]]
17: [[9, 7, 6], [1, 11, 3], [2, 8, 4], [5, 10, 13], [12, 14], [15, 16, 18], [17, 19, 20]]
18: [[9, 7, 6], [1, 11], [3, 2, 8], [4, 5, 10], [13, 12], [14, 15, 16], [18, 17], [19, 20]]
19: [[9, 7, 6], [1, 11, 3], [2, 8, 4, 5], [10, 13, 12, 14, 15, 16, 18, 17, 19, 20]]
20: [[9, 7, 6], [1, 11, 3, 2], [8, 4, 5], [10, 13], [12, 14, 15, 16], [18, 17, 19, 20]]
21: [[9, 7, 6], [1, 11], [3, 2, 8, 4], [5, 10], [13, 12, 14, 15, 16, 18], [17, 19, 20]]
22: [[9, 7, 6, 1], [11, 3], [2, 8, 4], [5, 10, 13, 12], [14, 15, 16, 18, 17, 19, 20]]
23: [[9, 7, 6], [1, 11, 3], [2, 8, 4, 5], [10, 13], [12, 14], [15, 16], [18, 17], [19, 20]]
24: [[9, 7, 6], [1, 11, 3, 2], [8, 4], [5, 10], [13, 12, 14], [15, 16, 18, 17], [19, 20]]
25: [[9, 7, 6, 1], [11, 3, 2, 8, 4], [5, 10, 13], [12, 14, 15], [16, 18, 17, 19, 20]]
26: [[9, 7, 6, 1], [11, 3, 2], [8, 4], [5, 10], [13, 12, 14, 15, 16], [18, 17, 19, 20]]
27: [[9, 7, 6, 1, 11], [3, 2], [8, 4, 5, 10], [13, 12], [14, 15, 16, 18, 17, 19, 20]]
28: [[9, 7, 6], [1, 11, 3, 2], [8, 4], [5, 10, 13, 12, 14, 15, 16], [18, 17, 19, 20]]
29: [[9, 7, 6, 1], [11, 3, 2, 8], [4, 5, 10, 13], [12, 14], [15, 16, 18], [17, 19, 20]]
30: [[9, 7, 6, 1], [11, 3, 2, 8], [4, 5], [10, 13, 12], [14, 15, 16, 18, 17], [19, 20]]
31: [[9, 7], [6, 1, 11, 3, 2, 8], [4, 5], [10, 13, 12, 14], [15, 16, 18, 17], [19, 20]]
32: [[9, 7, 6, 1], [11, 3], [2, 8, 4, 5], [10, 13], [12, 14], [15, 16, 18], [17, 19, 20]]
33: [[9, 7], [6, 1, 11, 3], [2, 8], [4, 5, 10, 13, 12, 14, 15, 16, 18, 17, 19, 20]]
34: [[9, 7, 6], [1, 11, 3, 2], [8, 4, 5], [10, 13, 12, 14, 15], [16, 18, 17], [19, 20]]
35: [[9, 7], [6, 1, 11], [3, 2, 8, 4, 5], [10, 13, 12, 14, 15, 16, 18], [17, 19, 20]]
36: [[9, 7], [6, 1, 11], [3, 2], [8, 4], [5, 10], [13, 12], [14, 15, 16, 18], [17, 19, 20]]
37: [[9, 7], [6, 1, 11], [3, 2], [8, 4, 5, 10], [13, 12, 14], [15, 16, 18], [17, 19, 20]]
38: [[9, 7], [6, 1, 11, 3, 2, 8, 4, 5, 10, 13, 12, 14, 15, 16, 18, 17], [19, 20]]
39: [[9, 7], [6, 1, 11], [3, 2], [8, 4], [5, 10, 13], [12, 14, 15, 16, 18], [17, 19, 20]]
40: [[9, 7], [6, 1], [11, 3, 2], [8, 4, 5], [10, 13, 12, 14], [15, 16], [18, 17], [19, 20]]
41: [[9, 7, 6, 1], [11, 3, 2], [8, 4, 5], [10, 13], [12, 14], [15, 16], [18, 17], [19, 20]]
