0: [[2, 8], [5, 7], [3, 1], [6, 4], [13, 11, 12], [10, 9], [14, 15, 16], [17, 18, 19, 20]]
1: [[2, 8], [5, 7], [3, 1], [6, 4], [13, 11, 12], [10, 9], [14, 15, 16], [17, 18, 19, 20]]
2: [[2, 8], [5, 7], [3, 1], [6, 4], [13, 11, 12], [10, 9], [14, 15, 16], [17, 18, 19, 20]]
3: [[2, 8, 5, 7], [3, 1], [6, 4, 13], [11, 12, 10, 9], [14, 15, 16], [17, 18, 19, 20]]
4: [[2, 8], [5, 7], [3, 1], [6, 4], [13, 11, 12], [10, 9, 14, 15, 16], [17, 18, 19, 20]]
5: [[2, 8, 5, 7], [3, 1], [6, 4, 13], [11, 12], [10, 9, 14], [15, 16], [17, 18, 19, 20]]
6: [[2, 8], [5, 7], [3, 1], [6, 4], [13, 11, 12, 10, 9], [14, 15, 16, 17, 18, 19, 20]]
7: [[2, 8], [5, 7], [3, 1], [6, 4, 13], [11, 12], [10, 9], [14, 15, 16], [17, 18], [19, 20]]
8: [[2, 8], [5, 7], [3, 1], [6, 4], [13, 11, 12], [10, 9, 14], [15, 16, 17], [18, 19, 20]]
9: [[2, 8], [5, 7], [3, 1], [6, 4, 13], [11, 12, 10, 9], [14, 15, 16, 17, 18, 19, 20]]
10: [[2, 8], [5, 7], [3, 1], [6, 4], [13, 11, 12, 10], [9, 14, 15, 16], [17, 18, 19, 20]]
11: [[2, 8], [5, 7], [3, 1], [6, 4], [13, 11, 12, 10], [9, 14, 15, 16], [17, 18, 19, 20]]
12: [[2, 8], [5, 7], [3, 1], [6, 4, 13], [11, 12, 10, 9], [14, 15, 16, 17, 18], [19, 20]]
13: [[2, 8], [5, 7], [3, 1], [6, 4, 13], [11, 12], [10, 9, 14], [15, 16, 17, 18], [19, 20]]
14: [[2, 8], [5, 7], [3, 1], [6, 4, 13], [11, 12], [10, 9], [14, 15], [16, 17, 18], [19, 20]]
15: [[2, 8], [5, 7], [3, 1], [6, 4, 13], [11, 12], [10, 9], [14, 15], [16, 17, 18], [19, 20]]
16: [[2, 8], [5, 7], [3, 1], [6, 4, 13, 11], [12, 10, 9], [14, 15, 16, 17], [18, 19, 20]]
17: [[2, 8], [5, 7], [3, 1, 6], [4, 13], [11, 12], [10, 9, 14], [15, 16], [17, 18], [19, 20]]
18: [[2, 8], [5, 7], [3, 1], [6, 4], [13, 11, 12, 10], [9, 14, 15], [16, 17, 18, 19, 20]]
19: [[2, 8], [5, 7], [3, 1], [6, 4, 13, 11, 12, 10], [9, 14], [15, 16], [17, 18, 19, 20]]
20: [[2, 8], [5, 7], [3, 1], [6, 4, 13, 11, 12], [10, 9], [14, 15, 16, 17, 18], [19, 20]]
21: [[2, 8], [5, 7], [3, 1], [6, 4], [13, 11, 12, 10, 9, 14, 15], [16, 17], [18, 19, 20]]
22: [[2, 8], [5, 7], [3, 1], [6, 4], [13, 11, 12, 10], [9, 14, 15, 16, 17, 18, 19, 20]]
23: [[2, 8], [5, 7], [3, 1], [6, 4], [13, 11, 12, 10], [9, 14, 15, 16, 17, 18], [19, 20]]
24: [[2, 8], [5, 7], [3, 1], [6, 4], [13, 11], [12, 10, 9, 14], [15, 16, 17], [18, 19, 20]]
25: [[2, 8, 5, 7], [3, 1], [6, 4], [13, 11], [12, 10, 9, 14], [15, 16, 17], [18, 19, 20]]
26: [[2, 8], [5, 7], [3, 1], [6, 4], [13, 11], [12, 10, 9], [14, 15, 16, 17, 18], [19, 20]]
27: [[2, 8], [5, 7], [3, 1, 6, 4], [13, 11, 12, 10], [9, 14, 15, 16, 17, 18, 19, 20]]
28: [[2, 8], [5, 7], [3, 1, 6], [4, 13], [11, 12, 10], [9, 14, 15], [16, 17], [18, 19, 20]]
29: [[2, 8], [5, 7, 3], [1, 6], [4, 13], [11, 12], [10, 9], [14, 15, 16], [17, 18], [19, 20]]
30: [[2, 8], [5, 7], [3, 1, 6], [4, 13, 11, 12], [10, 9, 14, 15, 16, 17, 18, 19, 20]]
31: [[2, 8], [5, 7], [3, 1], [6, 4], [13, 11], [12, 10, 9, 14], [15, 16], [17, 18], [19, 20]]
32: [[2, 8], [5, 7], [3, 1], [6, 4], [13, 11], [12, 10, 9], [14, 15], [16, 17, 18], [19, 20]]
33: [[2, 8], [5, 7], [3, 1, 6], [4, 13, 11, 12, 10], [9, 14, 15, 16, 17, 18, 19, 20]]
34: [[2, 8], [5, 7], [3, 1, 6, 4, 13], [11, 12, 10, 9, 14, 15, 16, 17, 18, 19, 20]]
35: [[2, 8, 5], [7, 3], [1, 6], [4], [13, 11, 12], [10, 9, 14], [15, 16, 17, 18, 19, 20]]
36: [[2, 8], [5, 7], [3, 1, 6, 4], [13, 11], [12, 10], [9, 14], [15, 16, 17, 18, 19, 20]]
37: [[2, 8], [5, 7, 3, 1], [6, 4], [13, 11, 12, 10], [9, 14, 15, 16, 17, 18, 19, 20]]
38: [[2, 8], [5, 7], [3, 1], [6, 4], [13, 11], [12, 10], [9, 14, 15], [16, 17, 18], [19, 20]]
39: [[2, 8], [5, 7, 3], [1, 6], [4, 13, 11], [12, 10, 9, 14], [15, 16, 17, 18, 19, 20]]
40: [[2, 8], [5, 7, 3, 1, 6], [4, 13, 11], [12, 10, 9, 14, 15, 16, 17, 18, 19, 20]]
41: [[2, 8], [5, 7, 3, 1], [6, 4, 13, 11, 12, 10, 9, 14, 15, 16, 17, 18, 19, 20]]
