0: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
1: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
2: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
3: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
4: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
5: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
6: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
7: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
8: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
9: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
10: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
11: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
12: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
13: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
14: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
15: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
16: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
17: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
18: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
19: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
20: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
21: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
22: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
23: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
24: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
25: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
26: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
27: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
28: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
29: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
30: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
31: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
32: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
33: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
34: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
35: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
36: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
37: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
38: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
39: [[9, 12, 10, 8, 13], [16, 1, 6, 14, 3], [2, 4, 5, 11, 7], [17, 19, 18, 15, 20]]
