0: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
1: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
2: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
3: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
4: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
5: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
6: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
7: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
8: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
9: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
10: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
11: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
12: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
13: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
14: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
15: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
16: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
17: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
18: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
19: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
20: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
21: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
22: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
23: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
24: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
25: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
26: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
27: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
28: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
29: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
30: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
31: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
32: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
33: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
34: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
35: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
36: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
37: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
38: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
39: [[12, 13, 11, 1, 4, 3], [2, 7, 6, 5, 9, 10, 8], [14, 15, 17, 16, 19, 20, 18]]
