0: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
1: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
2: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
3: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
4: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
5: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
6: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
7: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
8: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
9: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
10: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
11: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
12: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
13: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
14: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
15: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
16: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
17: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
18: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
19: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
20: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
21: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
22: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
23: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
24: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
25: [[2, 9, 7, 12, 13], [10, 1, 4, 3], [5, 6, 8, 11]]
