0: [[3, 10, 1, 4], [2, 13, 7, 12, 5], [9, 6, 8, 11]]
1: [[3, 10, 1, 4], [2, 13, 7, 12, 5], [9, 6, 8, 11]]
2: [[3, 10, 1, 4], [2, 13, 7, 12, 5], [9, 6, 8, 11]]
3: [[3, 10, 1, 4], [2, 13, 7, 12, 5], [9, 6, 8, 11]]
4: [[3, 10, 1, 4], [2, 13, 7, 12, 5], [9, 6, 8, 11]]
5: [[3, 10, 1, 4], [2, 13, 7, 12, 5], [9, 6, 8, 11]]
6: [[3, 10, 1, 4], [2, 13, 7, 12, 5], [9, 6, 8, 11]]
7: [[3, 10, 1, 4], [2, 13, 7, 12, 5], [9, 6, 8, 11]]
8: [[3, 10, 1, 4], [2, 13, 7, 12, 5], [9, 6, 8, 11]]
9: [[3, 10, 1, 4], [2, 13, 7, 12, 5], [9, 6, 8, 11]]
10: [[3, 10, 1, 4], [2, 13, 7, 12, 5], [9, 6, 8, 11]]
11: [[3, 10, 1, 4], [2, 13, 7, 12, 5], [9, 6, 8, 11]]
12: [[3, 10, 1, 4], [2, 13, 7, 12, 5], [9, 6, 8, 11]]
13: [[3, 10, 1, 4, 2], [13, 7, 12, 5], [9, 6, 8, 11]]
14: [[3, 10, 1, 4, 2], [13, 7, 12, 5], [9, 6, 8, 11]]
15: [[3, 10, 1, 4, 2], [13, 7, 12, 5], [9, 6, 8, 11]]
16: [[3, 10, 1, 4, 2], [13, 7, 12, 5], [9, 6, 8, 11]]
17: [[3, 10, 1, 4, 2], [13, 7, 12, 5], [9, 6, 8, 11]]
18: [[3, 10, 1, 4, 2], [13, 7, 12, 5], [9, 6, 8, 11]]
19: [[3, 10, 1, 4, 2], [13, 7, 12, 5], [9, 6, 8, 11]]
20: [[3, 10, 1, 4, 2], [13, 7, 12, 5], [9, 6, 8, 11]]
21: [[3, 10, 1, 4, 2], [13, 7, 12, 5], [9, 6, 8, 11]]
22: [[3, 10, 1, 4, 2], [13, 7, 12, 5], [9, 6, 8, 11]]
23: [[3, 10, 1, 4], [2, 13, 7, 12], [5, 9, 6, 8, 11]]
24: [[3, 10, 1, 4], [2, 13, 7, 12], [5, 9, 6, 8, 11]]
25: [[3, 10, 1, 4], [2, 13, 7, 12], [5, 9, 6, 8, 11]]
