0: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
1: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
2: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
3: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
4: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
5: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
6: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
7: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
8: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
9: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
10: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
11: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
12: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
13: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
14: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
15: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
16: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
17: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
18: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
19: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
20: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
21: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
22: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
23: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
24: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
25: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
26: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
27: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
28: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
29: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
30: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
31: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
32: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
33: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
34: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
35: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
36: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
37: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
38: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
39: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
40: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
41: [[5, 2, 7, 16, 6], [3, 8, 17, 1, 4], [13, 11, 10, 12, 9], [19, 14, 18, 20, 15]]
