0: [[13, 7], [10, 3, 5, 2, 1], [6, 4, 8, 9, 11], [12]]
1: [[13, 7, 10], [3, 5, 2, 1], [6, 4, 8], [9, 11, 12]]
2: [[13, 7, 10], [3, 5, 2, 1], [6, 4, 8], [9, 11, 12]]
3: [[13, 7, 10], [3, 5, 2, 1], [6, 4, 8, 9, 11, 12]]
4: [[13, 7, 10], [3, 5, 2, 1], [6, 4, 8], [9, 11, 12]]
5: [[13, 7], [10, 3, 5], [2, 1], [6, 4, 8], [9, 11], [12]]
6: [[13, 7], [10, 3, 5], [2, 1, 6, 4, 8, 9, 11, 12]]
7: [[13, 7, 10], [3, 5], [2, 1], [6, 4, 8], [9, 11, 12]]
8: [[13, 7], [10, 3, 5, 2], [1], [6, 4, 8], [9, 11, 12]]
9: [[13, 7], [10, 3, 5], [2, 1], [6, 4, 8], [9, 11, 12]]
10: [[13, 7, 10, 3, 5, 2], [1, 6, 4, 8], [9, 11, 12]]
11: [[13, 7, 10], [3, 5, 2], [1, 6, 4, 8], [9, 11, 12]]
12: [[13], [7, 10, 3, 5, 2, 1], [6, 4, 8, 9, 11, 12]]
13: [[13, 7, 10], [3, 5, 2], [1, 6, 4, 8], [9, 11, 12]]
14: [[13, 7], [10, 3, 5], [2, 1], [6, 4, 8, 9], [11, 12]]
15: [[13, 7, 10], [3, 5, 2, 1, 6], [4, 8, 9, 11, 12]]
16: [[13, 7, 10], [3, 5, 2, 1, 6], [4, 8, 9, 11, 12]]
17: [[13, 7, 10], [3, 5, 2, 1, 6], [4, 8, 9, 11, 12]]
18: [[13, 7], [10, 3], [5, 2, 1], [6, 4, 8], [9, 11, 12]]
19: [[13, 7, 10, 3], [5, 2, 1], [6, 4, 8], [9, 11, 12]]
20: [[13, 7, 10], [3, 5, 2], [1, 6, 4], [8, 9, 11, 12]]
21: [[13, 7], [10, 3, 5], [2, 1, 6], [4, 8, 9, 11, 12]]
22: [[13, 7], [10, 3], [5, 2], [1, 6, 4, 8], [9, 11, 12]]
23: [[13], [7, 10, 3], [5, 2, 1], [6, 4, 8], [9, 11, 12]]
24: [[13, 7, 10], [3, 5], [2, 1, 6], [4, 8, 9], [11, 12]]
25: [[13, 7], [10, 3], [5, 2, 1, 6], [4, 8], [9, 11, 12]]
