0: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
1: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
2: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
3: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
4: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
5: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
6: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
7: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
8: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
9: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
10: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
11: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
12: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
13: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
14: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
15: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
16: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
17: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
18: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
19: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
20: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
21: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
22: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
23: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
24: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
25: [[9, 6, 8, 4], [1, 3, 2, 5], [7, 12, 10, 13, 11]]
