0: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
1: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
2: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
3: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
4: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
5: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
6: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
7: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
8: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
9: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
10: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
11: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
12: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
13: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
14: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
15: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
16: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
17: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
18: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
19: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
20: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
21: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
22: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
23: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
24: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
25: [[2, 13, 12, 5, 7], [1, 3, 4, 10], [6, 9, 11, 8]]
