0: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
1: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
2: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
3: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
4: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
5: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
6: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
7: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
8: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
9: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
10: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
11: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
12: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
13: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
14: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
15: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
16: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
17: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
18: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
19: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
20: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
21: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
22: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
23: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
24: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
25: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
26: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
27: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
28: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
29: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
30: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
31: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
32: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
33: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
34: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
35: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
36: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
37: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
38: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
39: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
40: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
41: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
42: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
43: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
44: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5, 6], [1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
45: [[12, 15, 17], [9, 3, 18], [10, 4, 14], [7, 5], [6, 1], [2, 13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
46: [[12, 15, 17], [9, 3], [18, 10, 4], [14, 7, 5], [6, 1, 2], [13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
47: [[12, 15, 17], [9, 3], [18, 10, 4], [14, 7, 5], [6, 1], [2, 13, 8], [11, 16], [19, 22, 20], [23, 21, 24]]
