0: [[9, 6, 11], [3, 2, 13, 5, 1], [10, 4], [12, 8, 7]]
1: [[9, 6, 11], [3, 2, 13, 5], [1, 10, 4], [12, 8, 7]]
2: [[9, 6, 11], [3, 2, 13, 5], [1, 10, 4], [12, 8, 7]]
3: [[9, 6, 11], [3, 2, 13, 5], [1, 10, 4], [12, 8, 7]]
4: [[9, 6, 11], [3, 2, 13, 5, 1], [10, 4], [12, 8, 7]]
5: [[9, 6, 11], [3, 2, 13, 5, 1], [10, 4], [12, 8, 7]]
6: [[9, 6, 11, 3], [2, 13, 5], [1, 10, 4], [12, 8, 7]]
7: [[9, 6, 11, 3], [2, 13, 5], [1, 10, 4], [12, 8, 7]]
8: [[9, 6, 11], [3, 2, 13, 5, 1], [10, 4, 12, 8, 7]]
9: [[9, 6, 11], [3, 2, 13, 5, 1], [10, 4, 12, 8, 7]]
10: [[9, 6, 11], [3, 2, 13], [5, 1, 10, 4], [12, 8, 7]]
11: [[9, 6, 11], [3, 2, 13], [5, 1, 10, 4], [12, 8, 7]]
12: [[9, 6, 11], [3, 2, 13], [5, 1, 10, 4], [12, 8, 7]]
13: [[9, 6, 11], [3, 2, 13], [5, 1, 10, 4], [12, 8, 7]]
14: [[9, 6, 11], [3, 2, 13], [5, 1, 10, 4], [12, 8, 7]]
15: [[9, 6, 11], [3, 2, 13], [5, 1], [10, 4], [12, 8, 7]]
16: [[9, 6, 11, 3, 2, 13], [5, 1, 10, 4], [12, 8, 7]]
17: [[9, 6, 11, 3], [2, 13, 5, 1], [10, 4, 12], [8, 7]]
18: [[9, 6, 11, 3, 2], [13, 5, 1, 10, 4], [12, 8, 7]]
19: [[9, 6, 11, 3], [2, 13, 5], [1, 10, 4, 12, 8, 7]]
20: [[9, 6, 11], [3, 2, 13], [5, 1, 10, 4, 12, 8, 7]]
21: [[9, 6, 11], [3, 2, 13], [5, 1, 10, 4, 12, 8, 7]]
22: [[9, 6, 11], [3, 2, 13], [5, 1, 10, 4, 12, 8, 7]]
23: [[9, 6, 11], [3, 2, 13], [5, 1, 10, 4, 12, 8, 7]]
24: [[9, 6, 11], [3, 2, 13], [5, 1, 10, 4, 12, 8, 7]]
25: [[9, 6, 11], [3, 2, 13], [5, 1, 10], [4, 12, 8, 7]]
