0: [[14, 4], [1, 3], [6, 2], [5, 7, 9], [10, 8], [11, 12, 13], [15, 16], [18, 19, 17, 20]]
1: [[14, 4], [1, 3], [6, 2], [5, 7, 9], [10, 8], [11, 12, 13], [15, 16], [18, 19, 17, 20]]
2: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19, 17, 20]]
3: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19, 17, 20]]
4: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19, 17, 20]]
5: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16, 18, 19, 17, 20]]
6: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
7: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
8: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
9: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
10: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
11: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
12: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
13: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
14: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
15: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
16: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
17: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
18: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
19: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
20: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
21: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
22: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
23: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
24: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
25: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
26: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
27: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13], [15, 16], [18, 19], [17, 20]]
28: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13, 15, 16, 18], [19, 17, 20]]
29: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13, 15, 16, 18], [19, 17, 20]]
30: [[4, 14], [1, 3], [2, 6], [5, 7, 9, 11], [8, 10], [12, 13], [15, 16, 18, 19], [17, 20]]
31: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13, 15], [16, 18, 19, 17, 20]]
32: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13, 15, 16, 18, 19, 17, 20]]
33: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13, 15, 16, 18, 19, 17, 20]]
34: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10], [12, 13, 15, 16, 18, 19, 17, 20]]
35: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10, 12, 13], [15, 16, 18, 19, 17, 20]]
36: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11, 8, 10], [12, 13, 15, 16, 18, 19, 17, 20]]
37: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11, 8, 10], [12, 13, 15, 16, 18, 19, 17, 20]]
38: [[14, 4], [1, 3], [2, 6, 5, 7], [9, 11, 8, 10, 12, 13, 15, 16, 18, 19, 17, 20]]
39: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11], [8, 10, 12, 13, 15, 16, 18, 19], [17, 20]]
40: [[4, 14], [1, 3], [2, 6], [5, 7, 9], [11, 8, 10, 12, 13, 15, 16, 18, 19, 17, 20]]
41: [[4, 14], [1, 3], [2, 6], [5, 7], [9, 11, 8, 10, 12, 13, 15, 16, 18, 19, 17, 20]]
