0: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
1: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
2: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
3: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
4: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
5: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
6: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
7: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
8: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
9: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
10: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
11: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
12: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
13: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
14: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
15: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
16: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
17: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
18: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
19: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
20: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
21: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
22: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
23: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
24: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
25: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
26: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
27: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
28: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
29: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
30: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
31: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
32: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
33: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
34: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
35: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
36: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
37: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
38: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
39: [[5, 9, 7, 10], [1, 2, 8, 3], [13, 4, 12, 11], [14, 6, 15, 16], [19, 18, 17, 20]]
