0: [[11, 8, 2], [5, 3], [6, 9], [4, 1, 10], [12, 7, 13]]
1: [[11, 8, 2], [5, 3], [6, 9], [4, 1, 10], [12, 7, 13]]
2: [[11, 8], [2, 5], [3, 6, 9], [4, 1, 10], [12, 7, 13]]
3: [[11, 8], [2, 5], [3, 6], [9, 4, 1, 10], [12, 7, 13]]
4: [[11, 8], [2, 5], [3, 6], [9, 4, 1, 10], [12, 7, 13]]
5: [[11, 8], [2, 5], [3, 6], [9, 4, 1, 10], [12, 7, 13]]
6: [[11, 8], [2, 5], [3, 6], [9, 4, 1, 10], [12, 7, 13]]
7: [[11, 8], [2, 5, 3], [6, 9, 4], [1, 10], [12, 7, 13]]
8: [[11, 8], [2, 5, 3, 6, 9, 4, 1, 10, 12], [7, 13]]
9: [[11, 8], [2, 5, 3, 6, 9, 4, 1, 10, 12], [7, 13]]
10: [[11, 8], [2, 5], [3, 6, 9, 4], [1, 10], [12, 7, 13]]
11: [[11, 8], [2, 5, 3, 6], [9, 4], [1, 10], [12, 7, 13]]
12: [[11, 8], [2, 5, 3, 6], [9, 4], [1, 10], [12, 7, 13]]
13: [[11, 8], [2, 5], [3, 6, 9], [4, 1, 10, 12], [7, 13]]
14: [[11, 8], [2, 5, 3], [6, 9, 4], [1, 10, 12, 7, 13]]
15: [[11, 8], [2, 5, 3, 6], [9, 4, 1], [10, 12], [7, 13]]
16: [[11, 8], [2, 5], [3, 6], [9, 4, 1, 10, 12], [7, 13]]
17: [[11, 8], [2, 5], [3, 6], [9, 4], [1, 10], [12, 7, 13]]
18: [[11, 8], [2, 5], [3, 6], [9, 4], [1, 10], [12, 7, 13]]
19: [[11, 8], [2, 5, 3, 6], [9, 4, 1, 10, 12, 7, 13]]
20: [[11, 8], [2, 5], [3, 6, 9], [4, 1], [10, 12], [7, 13]]
21: [[11, 8], [2, 5, 3], [6, 9, 4, 1, 10, 12, 7, 13]]
22: [[11, 8], [2, 5], [3, 6], [9, 4, 1, 10, 12, 7, 13]]
23: [[11, 8], [2, 5], [3, 6, 9, 4, 1, 10, 12, 7, 13]]
24: [[11, 8], [2, 5], [3, 6, 9, 4, 1, 10, 12, 7, 13]]
25: [[11, 8], [2, 5], [3, 6], [9, 4], [1, 10, 12, 7, 13]]
26: [[11, 8], [2, 5], [3, 6], [9, 4], [1, 10, 12, 7, 13]]
27: [[11, 8], [2, 5], [3, 6], [9, 4], [1, 10, 12], [7, 13]]
