0: [[3, 5], [9, 6], [4, 1, 2, 10], [12, 8, 7, 13, 11]]
1: [[3, 5], [9, 6], [4, 1, 2, 10], [12, 8, 7, 13, 11]]
2: [[3, 5], [9, 6, 4], [1, 2, 10, 12], [8, 7, 13, 11]]
3: [[3, 5], [9, 6, 4], [1, 2, 10, 12], [8, 7, 13, 11]]
4: [[3, 5], [9, 6, 4], [1, 2, 10, 12], [8, 7, 13, 11]]
5: [[3, 5], [9, 6], [4, 1, 2, 10], [12, 8, 7, 13, 11]]
6: [[3, 5], [9, 6], [4, 1, 2, 10, 12], [8, 7, 13, 11]]
7: [[3, 5], [9, 6], [4, 1], [2, 10, 12], [8, 7, 13, 11]]
8: [[3, 5], [9, 6, 4, 1], [2, 10, 12], [8, 7, 13, 11]]
9: [[3, 5, 9, 6], [4, 1, 2, 10], [12, 8, 7, 13, 11]]
10: [[3, 5], [9, 6], [4, 1], [2, 10, 12, 8], [7, 13, 11]]
11: [[3, 5], [9, 6, 4, 1], [2, 10, 12, 8, 7, 13, 11]]
12: [[3, 5], [9, 6, 4], [1, 2, 10, 12, 8], [7, 13, 11]]
13: [[3, 5, 9, 6], [4, 1, 2, 10, 12], [8, 7, 13, 11]]
14: [[3, 5], [9, 6, 4], [1, 2, 10], [12, 8, 7, 13], [11]]
15: [[3, 5], [9, 6, 4], [1, 2], [10, 12], [8, 7, 13, 11]]
16: [[3, 5], [9, 6], [4, 1, 2], [10, 12], [8, 7, 13, 11]]
17: [[3, 5], [9, 6, 4], [1, 2, 10], [12, 8, 7], [13, 11]]
18: [[3, 5], [9, 6], [4, 1], [2, 10], [12, 8, 7], [13, 11]]
19: [[3, 5], [9, 6, 4, 1], [2, 10, 12], [8, 7], [13, 11]]
20: [[3, 5], [9, 6, 4, 1], [2, 10, 12, 8, 7], [13, 11]]
21: [[3, 5], [9, 6, 4, 1], [2, 10, 12, 8, 7], [13, 11]]
22: [[3, 5], [9, 6, 4, 1], [2, 10, 12, 8, 7], [13, 11]]
23: [[3, 5, 9], [6, 4], [1, 2, 10, 12], [8, 7, 13, 11]]
24: [[3, 5, 9, 6, 4], [1, 2], [10, 12], [8, 7, 13, 11]]
25: [[3, 5], [9, 6, 4], [1, 2], [10, 12, 8], [7, 13, 11]]
