0: [[7, 13], [3, 5], [10, 4, 1], [8, 2, 9, 12, 6, 11]]
1: [[7, 13], [3, 5], [10, 4, 1], [8, 2, 9, 12, 6, 11]]
2: [[7, 13], [3, 5], [10, 4, 1], [8, 2, 9, 12, 6, 11]]
3: [[7, 13], [3, 5], [10, 4, 1, 8], [2, 9, 12, 6, 11]]
4: [[7, 13], [3, 5, 10, 4, 1], [8, 2, 9, 12, 6, 11]]
5: [[7, 13], [3, 5], [10, 4, 1, 8], [2, 9, 12, 6, 11]]
6: [[7, 13], [3, 5], [10, 4, 1, 8], [2, 9, 12, 6, 11]]
7: [[7, 13], [3, 5], [10, 4, 1, 8, 2], [9, 12, 6, 11]]
8: [[7, 13], [3, 5], [10, 4, 1, 8, 2], [9, 12, 6, 11]]
9: [[7, 13], [3, 5], [10, 4], [1, 8, 2, 9, 12, 6, 11]]
10: [[7, 13], [3, 5], [10, 4], [1, 8, 2, 9, 12], [6, 11]]
11: [[7, 13], [3, 5], [10, 4, 1, 8, 2, 9], [12, 6, 11]]
12: [[7, 13], [3, 5], [10, 4, 1, 8, 2, 9], [12, 6, 11]]
13: [[7, 13], [3, 5, 10, 4], [1, 8, 2, 9, 12, 6, 11]]
14: [[7, 13], [3, 5], [10, 4, 1, 8, 2], [9, 12], [6, 11]]
15: [[7, 13], [3, 5, 10], [4, 1, 8, 2, 9, 12, 6, 11]]
16: [[7, 13], [3, 5], [10, 4, 1, 8], [2, 9], [12, 6, 11]]
17: [[7, 13], [3, 5], [10, 4, 1, 8], [2, 9], [12, 6, 11]]
18: [[7, 13], [3, 5], [10, 4], [1, 8], [2, 9, 12], [6, 11]]
19: [[7, 13], [3, 5], [10, 4], [1, 8], [2, 9, 12], [6, 11]]
20: [[7, 13], [3, 5], [10, 4], [1, 8, 2], [9, 12], [6, 11]]
21: [[7, 13], [3, 5, 10], [4, 1, 8, 2, 9, 12], [6, 11]]
22: [[7, 13], [3, 5, 10], [4, 1], [8, 2], [9, 12, 6, 11]]
23: [[7, 13], [3, 5, 10], [4, 1], [8, 2, 9, 12], [6, 11]]
24: [[7, 13, 3], [5, 10], [4, 1, 8, 2], [9, 12, 6, 11]]
25: [[7, 13, 3], [5, 10, 4, 1, 8, 2, 9], [12, 6, 11]]
26: [[7, 13, 3], [5, 10], [4, 1, 8], [2, 9, 12], [6, 11]]
27: [[7, 13, 3], [5, 10], [4, 1], [8, 2], [9, 12, 6, 11]]
