0: [[10, 5, 2, 12, 13], [1, 3, 6, 4], [7, 8, 9, 11]]
1: [[10, 5, 2, 12, 13], [1, 3, 6, 4], [7, 8, 9, 11]]
2: [[10, 5, 2, 12, 13], [1, 3, 6, 4], [7, 8, 9, 11]]
3: [[10, 5, 2, 12, 13], [1, 3, 6, 4], [7, 8, 9, 11]]
4: [[10, 5, 2, 12, 13], [1, 3, 6, 4], [7, 8, 9, 11]]
5: [[10, 5, 2, 12, 13], [1, 3, 6, 4], [7, 8, 9, 11]]
6: [[10, 5, 2, 12, 13], [1, 3, 6, 4], [7, 8, 9, 11]]
7: [[10, 5, 2, 12, 13], [1, 3, 6, 4], [7, 8, 9, 11]]
8: [[10, 5, 2, 12, 13], [1, 3, 6, 4], [7, 8, 9, 11]]
9: [[10, 5, 2, 12, 13], [1, 3, 6, 4], [7, 8, 9, 11]]
10: [[10, 5, 2, 12, 13], [1, 3, 6, 4], [7, 8, 9, 11]]
11: [[10, 5, 2, 12, 13], [1, 3, 6, 4], [7, 8, 9, 11]]
12: [[10, 5, 2, 12, 13], [1, 3, 6, 4], [7, 8, 9, 11]]
13: [[10, 5, 2, 12, 13], [1, 3, 6, 4], [7, 8, 9, 11]]
14: [[10, 5, 2, 12, 13], [1, 3, 6, 4], [7, 8, 9, 11]]
15: [[10, 5, 2, 12, 13], [1, 3, 6, 4], [7, 8, 9, 11]]
16: [[10, 5, 2, 12, 13], [1, 3, 6, 4], [7, 8, 9, 11]]
17: [[10, 5, 2, 12], [13, 1, 3, 6, 4], [7, 8, 9, 11]]
18: [[10, 5, 2, 12], [13, 1, 3, 6, 4], [7, 8, 9, 11]]
19: [[10, 5, 2, 12], [13, 1, 3, 6, 4], [7, 8, 9, 11]]
20: [[10, 5, 2, 12], [13, 1, 3, 6, 4], [7, 8, 9, 11]]
21: [[10, 5, 2, 12], [13, 1, 3, 6, 4], [7, 8, 9, 11]]
22: [[10, 5, 2, 12], [13, 1, 3, 6, 4], [7, 8, 9, 11]]
23: [[10, 5, 2, 12], [13, 1, 3, 6], [4, 7, 8, 9, 11]]
24: [[10, 5, 2, 12], [13, 1, 3, 6], [4, 7, 8, 9, 11]]
25: [[10, 5, 2, 12], [13, 1, 3, 6], [4, 7, 8, 9, 11]]
