0: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
1: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
2: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
3: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
4: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
5: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
6: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
7: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
8: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
9: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
10: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
11: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
12: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
13: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
14: [[4, 1, 2, 3, 6, 13, 10, 14, 9], [5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
15: [[4, 1, 2, 3, 6, 13, 10, 14], [9, 5, 7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
16: [[4, 1, 2, 3, 6, 13, 10, 14, 9, 5], [7, 11, 8, 12, 15, 16, 18, 22, 20, 19, 17], [21, 23, 24]]
