0: [[11, 9, 6], [12, 10, 4], [1, 3, 5], [7, 8, 2, 13]]
1: [[11, 9, 6], [12, 10, 4], [1, 3, 5], [7, 8, 2, 13]]
2: [[11, 9, 6], [12, 10, 4], [1, 3, 5], [7, 8, 2, 13]]
3: [[11, 9, 6, 12], [10, 4, 1], [3, 5], [7, 8, 2, 13]]
4: [[11, 9, 6, 12], [10, 4, 1], [3, 5], [7, 8, 2, 13]]
5: [[11, 9, 6, 12], [10, 4], [1, 3, 5], [7, 8], [2, 13]]
6: [[11, 9, 6], [12, 10, 4], [1, 3], [5, 7, 8, 2, 13]]
7: [[11, 9, 6], [12, 10], [4, 1, 3, 5], [7, 8, 2, 13]]
8: [[11, 9, 6], [12, 10], [4, 1, 3, 5], [7, 8, 2, 13]]
9: [[11, 9, 6], [12, 10], [4, 1, 3, 5], [7, 8, 2, 13]]
10: [[11, 9, 6], [12, 10, 4, 1, 3], [5, 7, 8, 2, 13]]
11: [[11, 9], [6, 12, 10, 4], [1, 3, 5], [7, 8, 2, 13]]
12: [[11, 9, 6, 12], [10, 4, 1], [3, 5, 7], [8, 2, 13]]
13: [[11, 9, 6], [12, 10, 4], [1, 3, 5, 7, 8, 2, 13]]
14: [[11, 9, 6, 12], [10, 4, 1], [3, 5, 7], [8, 2, 13]]
15: [[11, 9, 6, 12], [10, 4, 1], [3, 5, 7, 8], [2, 13]]
16: [[11, 9, 6, 12], [10, 4, 1], [3, 5, 7, 8], [2, 13]]
17: [[11, 9, 6], [12, 10, 4, 1], [3, 5, 7, 8], [2, 13]]
18: [[11, 9], [6, 12], [10, 4], [1, 3, 5], [7, 8], [2, 13]]
19: [[11, 9, 6], [12, 10, 4], [1, 3, 5, 7], [8, 2, 13]]
20: [[11, 9, 6], [12, 10, 4], [1, 3], [5, 7, 8, 2], [13]]
21: [[11, 9], [6, 12, 10, 4, 1, 3], [5, 7, 8, 2, 13]]
22: [[11, 9, 6], [12, 10, 4, 1, 3, 5, 7], [8, 2, 13]]
23: [[11, 9, 6], [12, 10, 4, 1, 3], [5, 7, 8], [2, 13]]
24: [[11, 9], [6, 12], [10, 4, 1, 3, 5], [7, 8], [2, 13]]
25: [[11, 9, 6], [12, 10], [4, 1, 3, 5, 7], [8, 2, 13]]
26: [[11, 9, 6, 12, 10], [4, 1, 3], [5, 7, 8], [2, 13]]
27: [[11, 9], [6, 12, 10, 4, 1, 3, 5, 7, 8], [2, 13]]
