0: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
1: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
2: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
3: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
4: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
5: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
6: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
7: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
8: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
9: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
10: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
11: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
12: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
13: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
14: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
15: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
16: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
17: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
18: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
19: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
20: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
21: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
22: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
23: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
24: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
25: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
26: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
27: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
28: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
29: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
30: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
31: [[2, 5, 7, 6, 4], [1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
32: [[2, 5, 7], [1, 3, 8, 6, 4], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
33: [[2, 5, 7], [6, 4, 1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
34: [[2, 5, 7], [6, 4, 1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
35: [[2, 5, 7], [6, 4, 1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
36: [[2, 5, 7], [6, 4, 1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
37: [[2, 5, 7], [6, 4, 1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
38: [[2, 5, 7], [6, 4, 1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
39: [[2, 5, 7], [6, 4, 1, 3, 8], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
40: [[2, 5, 7], [1, 3, 8, 6, 4], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
41: [[2, 5, 7], [1, 3, 8, 6, 4], [11, 10, 12, 13, 9], [15, 14, 17, 19, 16, 18, 20]]
