0: [[3, 1], [6, 2, 8, 5, 10, 7], [13, 9, 4, 11, 12], [16, 14, 15], [17, 18, 20, 19]]
1: [[3, 1], [6, 2, 8, 5, 10, 7], [13, 9, 4, 11, 12], [16, 14, 15], [17, 18, 20, 19]]
2: [[3, 1], [6, 2, 8, 5, 10, 7], [13, 9, 4, 11, 12], [16, 14, 15], [17, 18, 20, 19]]
3: [[3, 1], [6, 2, 8, 5, 10, 7], [13, 9, 4, 11, 12], [16, 14, 15], [17, 18, 20, 19]]
4: [[3, 1, 6, 2, 8], [5, 10, 7, 13, 9, 4], [11, 12], [16, 14, 15], [17, 18, 20, 19]]
5: [[3, 1, 6, 2, 8], [5, 10, 7, 13, 9, 4], [11, 12], [16, 14, 15], [17, 18, 20, 19]]
6: [[3, 1, 6, 2, 8, 5, 10, 7], [13, 9, 4], [11, 12], [16, 14, 15], [17, 18, 20, 19]]
7: [[3, 1, 6, 2, 8, 5, 10, 7], [13, 9, 4], [11, 12], [16, 14, 15], [17, 18, 20, 19]]
8: [[3, 1, 6], [2, 8, 5, 10, 7], [13, 9, 4, 11, 12, 16], [14, 15], [17, 18, 20, 19]]
9: [[3, 1, 6], [2, 8, 5, 10, 7], [13, 9, 4, 11, 12, 16], [14, 15], [17, 18, 20, 19]]
10: [[3, 1, 6], [2, 8, 5, 10, 7], [13, 9, 4, 11, 12, 16], [14, 15], [17, 18, 20, 19]]
11: [[3, 1, 6], [2, 8, 5, 10, 7], [13, 9, 4, 11, 12, 16], [14, 15], [17, 18, 20, 19]]
12: [[3, 1, 6], [2, 8, 5, 10, 7], [13, 9, 4, 11, 12, 16], [14, 15], [17, 18, 20, 19]]
13: [[3, 1, 6], [2, 8, 5, 10, 7], [13, 9, 4, 11, 12, 16], [14, 15], [17, 18, 20, 19]]
14: [[3, 1, 6], [2, 8, 5, 10, 7], [13, 9], [4, 11, 12, 16, 14, 15], [17, 18, 20, 19]]
15: [[3, 1, 6], [2, 8, 5, 10, 7], [13, 9], [4, 11, 12, 16, 14, 15], [17, 18, 20, 19]]
16: [[3, 1, 6, 2, 8], [5, 10, 7], [13, 9, 4, 11, 12, 16], [14, 15], [17, 18, 20, 19]]
17: [[3, 1], [6, 2, 8, 5, 10, 7], [13, 9, 4], [11, 12, 16, 14, 15, 17], [18, 20, 19]]
18: [[3, 1], [6, 2, 8, 5, 10, 7], [13, 9], [4, 11, 12, 16, 14], [15, 17, 18, 20, 19]]
19: [[3, 1, 6, 2], [8, 5, 10, 7], [13, 9, 4, 11, 12, 16], [14, 15], [17, 18, 20, 19]]
20: [[3, 1], [6, 2, 8, 5, 10], [7, 13, 9, 4, 11], [12, 16, 14, 15], [17, 18, 20, 19]]
21: [[3, 1, 6, 2], [8, 5, 10, 7], [13, 9], [4, 11, 12, 16, 14, 15], [17, 18, 20, 19]]
22: [[3, 1, 6, 2, 8, 5], [10, 7], [13, 9, 4, 11, 12], [16, 14, 15], [17, 18, 20, 19]]
23: [[3, 1, 6, 2, 8, 5], [10, 7], [13, 9, 4, 11, 12], [16, 14, 15], [17, 18, 20, 19]]
24: [[3, 1, 6, 2, 8, 5], [10, 7], [13, 9, 4, 11, 12], [16, 14, 15], [17, 18, 20, 19]]
25: [[3, 1, 6, 2, 8, 5], [10, 7], [13, 9, 4, 11, 12], [16, 14, 15], [17, 18, 20, 19]]
26: [[3, 1, 6, 2, 8, 5], [10, 7, 13, 9, 4], [11, 12], [16, 14, 15], [17, 18, 20, 19]]
27: [[3, 1, 6], [2, 8, 5, 10, 7, 13, 9, 4], [11, 12, 16], [14, 15], [17, 18, 20, 19]]
28: [[3, 1], [6, 2, 8, 5, 10, 7, 13], [9, 4, 11], [12, 16, 14, 15], [17, 18, 20, 19]]
29: [[3, 1], [6, 2, 8, 5, 10, 7, 13], [9, 4, 11], [12, 16, 14, 15], [17, 18, 20, 19]]
30: [[3, 1, 6, 2, 8], [5, 10], [7, 13, 9, 4], [11, 12, 16, 14, 15], [17, 18, 20, 19]]
31: [[3, 1, 6, 2, 8], [5, 10], [7, 13, 9, 4, 11], [12, 16, 14, 15], [17, 18, 20, 19]]
32: [[3, 1, 6], [2, 8, 5, 10], [7, 13, 9, 4, 11, 12], [16, 14], [15, 17, 18, 20, 19]]
33: [[3, 1, 6], [2, 8, 5, 10, 7, 13], [9, 4, 11, 12, 16], [14, 15], [17, 18, 20, 19]]
34: [[3, 1, 6, 2, 8, 5], [10, 7], [13, 9, 4], [11, 12, 16, 14, 15], [17, 18, 20, 19]]
35: [[3, 1, 6, 2, 8], [5, 10], [7, 13, 9], [4, 11, 12, 16, 14], [15, 17, 18, 20, 19]]
36: [[3, 1, 6], [2, 8, 5], [10, 7, 13, 9, 4, 11, 12, 16], [14, 15], [17, 18, 20, 19]]
37: [[3, 1, 6, 2], [8, 5, 10, 7, 13], [9, 4, 11, 12, 16], [14, 15], [17, 18, 20, 19]]
38: [[3, 1, 6, 2, 8, 5], [10, 7, 13, 9], [4, 11, 12, 16], [14, 15], [17, 18, 20, 19]]
39: [[3, 1, 6, 2], [8, 5], [10, 7, 13, 9, 4], [11, 12, 16, 14, 15], [17, 18, 20, 19]]
40: [[3, 1, 6], [2, 8], [5, 10, 7, 13, 9, 4, 11, 12, 16], [14, 15, 17, 18], [20, 19]]
41: [[3, 1, 6, 2, 8, 5, 10], [7, 13], [9, 4, 11], [12, 16, 14, 15, 17], [18, 20, 19]]
