0: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
1: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
2: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
3: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
4: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
5: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
6: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
7: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
8: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
9: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
10: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
11: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
12: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
13: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
14: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
15: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
16: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
17: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
18: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
19: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
20: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
21: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
22: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
23: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
24: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
25: [[3, 6, 8, 5], [1, 2, 4, 10], [9, 11, 7, 13, 12]]
