0: [[10, 11, 7], [1, 2, 9], [3, 6], [5, 4, 14, 12], [8, 13, 15], [18, 16], [19, 17, 20, 22], [21, 23, 24]]
1: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16], [19, 17, 20, 22], [21, 23, 24]]
2: [[10, 11, 7], [1, 2, 9], [3, 6], [5, 4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
3: [[10, 11, 7], [1, 2, 9], [3, 6], [5, 4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
4: [[10, 11, 7], [1, 2, 9], [3, 6], [5, 4, 14], [12, 8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
5: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
6: [[10, 11, 7], [1, 2], [9, 3, 6], [5, 4, 14], [12, 8, 13], [15, 18, 16], [19, 17, 20, 22], [21, 23, 24]]
7: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
8: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
9: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
10: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
11: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
12: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
13: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
14: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
15: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
16: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
17: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
18: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
19: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
20: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
21: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
22: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
23: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
24: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
25: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16], [19, 17, 20], [22, 21, 23, 24]]
26: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
27: [[10, 11, 7], [1, 2, 9], [3, 6], [5, 4, 14], [12, 8, 13], [15, 18, 16], [19, 17, 20], [22, 21, 23, 24]]
28: [[10, 11, 7], [1, 2, 9], [3, 6], [5, 4, 14], [12, 8, 13], [15, 18, 16, 19], [17, 20, 22], [21, 23, 24]]
29: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14], [12, 8, 13], [15, 18, 16, 19], [17, 20, 22], [21, 23, 24]]
30: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20], [22, 21, 23, 24]]
31: [[10, 11, 7], [1, 2, 9, 3], [6, 5, 4], [14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
32: [[10, 11, 7], [1, 2, 9], [3, 6], [5, 4], [14, 12, 8], [13, 15, 18], [16, 19], [17, 20, 22], [21, 23, 24]]
33: [[10, 11, 7, 1], [2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
34: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13], [15, 18], [16, 19, 17], [20, 22, 21], [23, 24]]
35: [[10, 11, 7], [1, 2], [9, 3], [6, 5, 4], [14, 12, 8], [13, 15], [18, 16, 19], [17, 20, 22], [21, 23, 24]]
36: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14], [12, 8, 13], [15, 18, 16], [19, 17], [20, 22, 21, 23, 24]]
37: [[10, 11, 7], [1, 2], [9, 3, 6], [5, 4, 14], [12, 8, 13], [15, 18, 16], [19, 17, 20], [22, 21, 23], [24]]
38: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15], [18, 16, 19], [17, 20, 22, 21, 23, 24]]
39: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13], [15, 18, 16], [19, 17, 20, 22, 21, 23, 24]]
40: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12], [8, 13, 15, 18, 16, 19, 17, 20, 22, 21, 23, 24]]
41: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14], [12, 8, 13], [15, 18, 16, 19, 17, 20, 22, 21, 23, 24]]
42: [[10, 11, 7], [1, 2, 9], [3, 6, 5], [4, 14, 12, 8, 13, 15, 18, 16, 19, 17, 20, 22, 21, 23, 24]]
43: [[10, 11, 7], [1, 2], [9, 3, 6, 5], [4, 14, 12, 8, 13, 15, 18, 16, 19, 17, 20, 22, 21, 23, 24]]
44: [[10, 11, 7], [1, 2, 9, 3, 6, 5, 4, 14, 12, 8, 13], [15, 18, 16, 19, 17, 20, 22, 21, 23, 24]]
45: [[10, 11, 7], [1, 2, 9, 3], [6, 5], [4, 14, 12], [8, 13, 15, 18, 16, 19, 17, 20, 22, 21, 23, 24]]
46: [[10, 11, 7], [1, 2], [9, 3, 6], [5, 4, 14], [12, 8], [13, 15, 18, 16, 19, 17, 20, 22, 21, 23, 24]]
47: [[10, 11, 7], [1, 2, 9, 3], [6, 5, 4, 14, 12, 8, 13, 15, 18, 16, 19, 17, 20, 22, 21, 23, 24]]
