0: [[2, 4, 10, 1], [3, 5], [6, 11, 8], [7, 9, 13, 12]]
1: [[2, 4, 10, 1], [3, 5], [6, 11, 8], [7, 9, 13, 12]]
2: [[2, 4, 10, 1], [3, 5], [6, 11, 8], [7, 9, 13, 12]]
3: [[2, 4, 10, 1], [3, 5], [6, 11, 8], [7, 9, 13, 12]]
4: [[2, 4, 10], [1, 3, 5], [6, 11, 8], [7, 9, 13, 12]]
5: [[2, 4, 10], [1, 3, 5], [6, 11, 8], [7, 9, 13, 12]]
6: [[2, 4, 10], [1, 3, 5], [6, 11, 8], [7, 9, 13, 12]]
7: [[2, 4, 10], [1, 3, 5], [6, 11, 8], [7, 9, 13, 12]]
8: [[2, 4, 10], [1, 3, 5], [6, 11, 8], [7, 9, 13, 12]]
9: [[2, 4, 10], [1, 3, 5], [6, 11, 8], [7, 9, 13, 12]]
10: [[2, 4, 10], [1, 3, 5], [6, 11, 8], [7, 9, 13, 12]]
11: [[2, 4, 10, 1], [3, 5, 6], [11, 8], [7, 9, 13, 12]]
12: [[2, 4, 10], [1, 3], [5, 6, 11, 8], [7, 9, 13, 12]]
13: [[2, 4, 10], [1, 3, 5, 6], [11, 8], [7, 9, 13, 12]]
14: [[2, 4, 10], [1, 3, 5, 6], [11, 8, 7, 9, 13, 12]]
15: [[2], [4, 10, 1, 3], [5, 6, 11, 8], [7, 9, 13, 12]]
16: [[2, 4, 10, 1], [3, 5, 6, 11], [8, 7, 9, 13, 12]]
17: [[2, 4, 10, 1], [3, 5, 6, 11], [8, 7, 9, 13, 12]]
18: [[2, 4, 10], [1, 3, 5], [6, 11, 8, 7], [9, 13, 12]]
19: [[2, 4, 10], [1, 3, 5, 6, 11, 8], [7, 9, 13, 12]]
20: [[2, 4, 10], [1, 3, 5], [6, 11, 8, 7], [9, 13, 12]]
21: [[2, 4, 10], [1, 3, 5], [6, 11, 8, 7], [9, 13, 12]]
22: [[2, 4, 10, 1], [3, 5, 6], [11, 8, 7], [9, 13, 12]]
23: [[2, 4, 10], [1, 3], [5, 6, 11], [8, 7, 9, 13, 12]]
24: [[2, 4, 10], [1, 3, 5, 6], [11, 8, 7], [9, 13, 12]]
25: [[2, 4, 10, 1], [3, 5, 6, 11, 8, 7], [9, 13, 12]]
