0: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
1: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
2: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
3: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
4: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
5: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
6: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
7: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
8: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
9: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
10: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
11: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
12: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
13: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
14: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
15: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
16: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
17: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
18: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
19: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
20: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
21: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
22: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
23: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
24: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
25: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
26: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
27: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
28: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
29: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
30: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
31: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
32: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
33: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
34: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
35: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
36: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
37: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
38: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
39: [[3, 4, 5, 1], [8, 2, 10, 7], [13, 9, 11, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
