0: [[10, 7, 2, 1, 5], [3, 8, 4, 6], [11, 12, 13, 9], [15, 16, 14, 18, 17, 19, 20]]
1: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
2: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
3: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
4: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
5: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
6: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
7: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
8: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
9: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
10: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
11: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
12: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
13: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
14: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
15: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
16: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
17: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
18: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
19: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
20: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
21: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
22: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
23: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
24: [[10, 7, 2, 1, 5, 6], [3, 8, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
25: [[10, 7, 2, 1, 5], [3, 6, 4], [8, 11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
26: [[10, 7, 2, 1, 5], [3, 8, 11, 6, 4], [9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
27: [[10, 7, 2, 1], [5, 3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
28: [[10, 7, 2, 1], [5, 3, 8, 6, 4], [11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
29: [[10, 7, 2, 1, 5], [4, 3, 8, 6], [11, 12, 9], [13, 15, 16, 14, 18, 17, 19, 20]]
30: [[10, 7, 2, 1, 5], [4, 3, 8, 6], [11, 12, 9], [13, 15, 16, 14, 18, 17, 19, 20]]
31: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13, 15], [16, 14, 18, 17, 19, 20]]
32: [[10, 7, 2, 1, 5], [3, 8, 6, 4], [11, 9, 12, 13, 15], [16, 14, 18, 17, 19, 20]]
33: [[10, 7, 2, 1], [5, 3, 6, 4], [8, 11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
34: [[10, 7, 2, 1], [5, 3, 6, 4], [8, 11, 9, 12, 13], [15, 16, 14, 18, 17, 19, 20]]
35: [[10, 7, 2, 1, 5], [4, 3, 6], [8, 11, 12, 9], [13, 15, 16, 14, 18, 17, 19, 20]]
36: [[10, 7, 2, 1, 5], [3, 8, 11, 6, 4], [9, 12, 13, 15], [16, 14, 18, 17, 19, 20]]
37: [[10, 7, 2, 1, 5], [3, 8, 11, 6, 4], [9, 12, 13, 15], [16, 14, 18, 17, 19, 20]]
38: [[10, 7, 2, 1, 5, 6], [3, 8, 11, 4], [9, 12, 13, 15], [16, 14, 18, 17, 19, 20]]
39: [[10, 7, 2, 1], [5, 4, 3, 6], [8, 11, 12, 9], [13, 15, 16, 14, 18, 17, 19, 20]]
40: [[10, 7, 2, 1], [5, 4, 3, 6], [8, 11, 12, 9], [13, 15, 16, 14, 18, 17, 19, 20]]
41: [[10, 7, 2, 1], [5, 4, 3, 6], [8, 11, 12, 9], [13, 15, 16, 14, 18, 17, 19, 20]]
