0: [[1, 7, 2, 5, 3, 6, 10, 8, 4], [11, 13, 12, 9], [14, 15, 18, 16, 17, 19, 20]]
1: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
2: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
3: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
4: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
5: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
6: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
7: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
8: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
9: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
10: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
11: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
12: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
13: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
14: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
15: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
16: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
17: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
18: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
19: [[1, 7, 2, 5, 3, 6, 4, 10, 8, 9], [11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
20: [[1, 7, 2, 5, 3, 6, 4, 10, 8, 9], [11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
21: [[1, 7, 2, 5, 3, 6, 4, 10, 8, 9], [11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
22: [[1, 7, 2, 5, 3, 6, 4, 10, 8, 9], [11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
23: [[1, 7, 2, 5, 3, 6, 4, 10, 8, 9], [11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
24: [[1, 7, 2, 5, 3, 6, 4, 10, 8, 9], [11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
25: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12, 14], [15, 18, 16, 17, 19, 20]]
26: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12, 14], [15, 18, 16, 17, 19, 20]]
27: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12, 14], [15, 18, 16, 17, 19, 20]]
28: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12, 14], [15, 18, 16, 17, 19, 20]]
29: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13, 12, 14], [15, 18, 16, 17, 19, 20]]
30: [[1, 7, 2, 5, 3, 6, 4, 10], [8, 9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
31: [[1, 7, 2, 5, 3, 6, 4, 10], [8, 9, 11, 13, 12], [14, 15, 18, 16, 17, 19, 20]]
32: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13], [12, 14, 15, 18, 16, 17, 19, 20]]
33: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13], [12, 14, 15, 18, 16, 17, 19, 20]]
34: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13], [12, 14, 15, 18, 16, 17, 19, 20]]
35: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13], [12, 14, 15, 18, 16, 17, 19, 20]]
36: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13], [12, 14, 15, 18, 16, 17, 19, 20]]
37: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13], [12, 14, 15, 18, 16, 17, 19, 20]]
38: [[1, 7, 2, 5, 3, 6, 4, 10, 8], [9, 11, 13], [12, 14, 15, 18, 16, 17, 19, 20]]
39: [[1, 7, 2, 5, 3, 6, 4, 10], [8, 9, 11, 13], [12, 14, 15, 18, 16, 17, 19, 20]]
40: [[1, 7, 2, 5, 3, 6, 4, 10], [8, 9, 11, 13], [12, 14, 15, 18, 16, 17, 19, 20]]
41: [[1, 7, 2, 5, 3, 6, 4, 10], [8, 9, 11, 13], [12, 14, 15, 18, 16, 17, 19, 20]]
