0: [[2, 8, 1, 10, 4], [9, 11, 6], [3, 5], [7, 13, 12]]
1: [[2, 8, 1, 10, 4], [9, 11, 6], [3, 5], [7, 13, 12]]
2: [[2, 8], [1, 10, 4], [9, 11, 6], [3, 5], [7, 13, 12]]
3: [[2, 8], [1, 10, 4], [9, 11, 6], [3, 5], [7, 13, 12]]
4: [[2, 8, 1], [10, 4], [9, 11, 6], [3, 5], [7, 13, 12]]
5: [[2, 8, 1], [10, 4], [9, 11, 6], [3, 5], [7, 13, 12]]
6: [[2, 8, 1, 10, 4], [9, 11], [6, 3, 5], [7, 13, 12]]
7: [[2, 8], [1, 10, 4], [9, 11], [6, 3, 5], [7, 13, 12]]
8: [[2, 8], [1, 10, 4], [9, 11], [6, 3, 5], [7, 13, 12]]
9: [[2, 8], [1, 10, 4], [9, 11], [6, 3, 5], [7, 13, 12]]
10: [[2, 8], [1, 10, 4], [9, 11], [6, 3, 5], [7, 13, 12]]
11: [[2, 8, 1, 10, 4], [9, 11], [6, 3, 5], [7, 13, 12]]
12: [[2, 8, 1, 10, 4], [9, 11], [6, 3, 5], [7, 13, 12]]
13: [[2, 8, 1, 10, 4], [9, 11, 6], [3, 5, 7, 13, 12]]
14: [[2, 8, 1, 10, 4], [9, 11, 6, 3, 5], [7, 13, 12]]
15: [[2, 8, 1], [10, 4], [9, 11, 6], [3, 5, 7, 13, 12]]
16: [[2, 8, 1], [10, 4, 9], [11, 6, 3, 5], [7, 13, 12]]
17: [[2, 8, 1, 10], [4, 9, 11], [6, 3, 5], [7, 13, 12]]
18: [[2, 8, 1, 10, 4], [9, 11, 6, 3], [5, 7, 13, 12]]
19: [[2, 8], [1, 10, 4], [9, 11, 6, 3], [5, 7, 13, 12]]
20: [[2, 8, 1, 10, 4], [9, 11, 6], [3, 5, 7], [13, 12]]
21: [[2, 8, 1], [10, 4, 9, 11, 6], [3, 5, 7, 13, 12]]
22: [[2, 8, 1], [10, 4, 9, 11, 6], [3, 5, 7, 13, 12]]
23: [[2, 8], [1, 10], [4, 9, 11], [6, 3, 5], [7, 13, 12]]
24: [[2, 8], [1, 10], [4, 9, 11], [6, 3, 5], [7, 13, 12]]
25: [[2, 8], [1, 10, 4], [9, 11, 6, 3, 5, 7, 13, 12]]
