No_gen, Best, MQ, No_clus, max_clus, min_clus
51,1.165639507922918,1.2593705035562868,4,15,15
52,1.165639507922918,1.2593705035562868,4,15,15
53,1.165639507922918,1.2593705035562868,4,15,15
54,1.165639507922918,1.2593705035562868,4,15,15
55,1.165639507922918,1.2593705035562868,4,15,15
56,1.165639507922918,1.2593705035562868,4,15,15
57,1.165639507922918,1.2593705035562868,4,15,15
58,1.165639507922918,1.2593705035562868,4,15,15
59,1.165639507922918,1.2593705035562868,4,15,15
60,1.165639507922918,1.2593705035562868,4,15,15
61,1.1957881915838657,1.2939883293039938,4,15,15
62,1.1957881915838657,1.2939883293039938,4,15,15
63,1.1957881915838657,1.2939883293039938,4,15,15
64,1.1957881915838657,1.2939883293039938,4,15,15
65,1.1957881915838657,1.2939883293039938,4,15,15
66,1.1957881915838657,1.2939883293039938,4,15,15
67,1.1957881915838657,1.2939883293039938,4,15,15
68,1.1957881915838657,1.2939883293039938,4,15,15
69,1.1957881915838657,1.2939883293039938,4,15,15
70,1.1957881915838657,1.2939883293039938,4,15,15
71,1.1957881915838657,1.2939883293039938,4,15,15
72,1.1957881915838657,1.2939883293039938,4,15,15
73,1.1957881915838657,1.2939883293039938,4,15,15
74,1.1957881915838657,1.2939883293039938,4,15,15
75,1.1957881915838657,1.2939883293039938,4,15,15
76,1.1957881915838657,1.2939883293039938,4,15,15
77,1.1957881915838657,1.2939883293039938,4,15,15
78,1.1957881915838657,1.2939883293039938,4,15,15
79,1.1957881915838657,1.2939883293039938,4,15,15
80,1.1957881915838657,1.2939883293039938,4,15,15
81,1.1957881915838657,1.2939883293039938,4,15,15
82,1.1957881915838657,1.2939883293039938,4,15,15
83,1.1957881915838657,1.2939883293039938,4,15,15
84,1.1957881915838657,1.2939883293039938,4,15,15
85,1.1957881915838657,1.2939883293039938,4,15,15
86,1.1957881915838657,1.2939883293039938,4,15,15
87,1.1957881915838657,1.2939883293039938,4,15,15
88,1.1957881915838657,1.2939883293039938,4,15,15
89,1.1957881915838657,1.2939883293039938,4,15,15
90,1.1957881915838657,1.2939883293039938,4,15,15
91,1.1957881915838657,1.2939883293039938,4,15,15
92,1.1957881915838657,1.2939883293039938,4,15,15
93,1.1957881915838657,1.2939883293039938,4,15,15
94,1.1957881915838657,1.2939883293039938,4,15,15
95,1.1957881915838657,1.2939883293039938,4,15,15
96,1.1957881915838657,1.2939883293039938,4,15,15
97,1.1957881915838657,1.2939883293039938,4,15,15
98,1.1957881915838657,1.2939883293039938,4,15,15
99,1.1957881915838657,1.2939883293039938,4,15,15
100,1.1957881915838657,1.2939883293039938,4,15,15
101,1.1957881915838657,1.2939883293039938,4,15,15
102,1.1957881915838657,1.2939883293039938,4,15,15
103,1.1957881915838657,1.2939883293039938,4,15,15
104,1.1957881915838657,1.2939883293039938,4,15,15
105,1.1957881915838657,1.2939883293039938,4,15,15
106,1.1957881915838657,1.2939883293039938,4,15,15
107,1.1957881915838657,1.2939883293039938,4,15,15
108,1.1957881915838657,1.2939883293039938,4,15,15
109,1.1957881915838657,1.2939883293039938,4,15,15
110,1.1957881915838657,1.2939883293039938,4,15,15
111,1.1957881915838657,1.2939883293039938,4,15,15
112,1.1957881915838657,1.2939883293039938,4,15,15
113,1.1957881915838657,1.2939883293039938,4,15,15
114,1.1957881915838657,1.2939883293039938,4,15,15
115,1.1957881915838657,1.2939883293039938,4,15,15
116,1.1957881915838657,1.2939883293039938,4,15,15
117,1.1957881915838657,1.2939883293039938,4,15,15
118,1.1957881915838657,1.2939883293039938,4,15,15
119,1.1957881915838657,1.2939883293039938,4,15,15
120,1.1957881915838657,1.2939883293039938,4,15,15
121,1.1957881915838657,1.2939883293039938,4,15,15
122,1.1957881915838657,1.2939883293039938,4,15,15
123,1.1957881915838657,1.2939883293039938,4,15,15
124,1.1957881915838657,1.2939883293039938,4,15,15
125,1.1957881915838657,1.2939883293039938,4,15,15
126,1.1957881915838657,1.2939883293039938,4,15,15
127,1.1957881915838657,1.2939883293039938,4,15,15
128,1.1957881915838657,1.2939883293039938,4,15,15
129,1.1957881915838657,1.2939883293039938,4,15,15
130,1.1957881915838657,1.2939883293039938,4,15,15
131,1.1957881915838657,1.2939883293039938,4,15,15
132,1.1957881915838657,1.2939883293039938,4,15,15
133,1.1957881915838657,1.2939883293039938,4,15,15
134,1.1957881915838657,1.2939883293039938,4,15,15
135,1.1957881915838657,1.2939883293039938,4,15,15
136,1.1957881915838657,1.2939883293039938,4,15,15
137,1.1957881915838657,1.2939883293039938,4,15,15
138,1.1957881915838657,1.2939883293039938,4,15,15
139,1.1957881915838657,1.2939883293039938,4,15,15
140,1.1957881915838657,1.2939883293039938,4,15,15
141,1.1957881915838657,1.2939883293039938,4,15,15
142,1.1957881915838657,1.2939883293039938,4,15,15
143,1.1957881915838657,1.2939883293039938,4,15,15
144,1.1957881915838657,1.2939883293039938,4,15,15
145,1.1957881915838657,1.2939883293039938,4,15,15
146,1.1957881915838657,1.2939883293039938,4,15,15
147,1.1957881915838657,1.2939883293039938,4,15,15
148,1.1957881915838657,1.2939883293039938,4,15,15
149,1.1957881915838657,1.2939883293039938,4,15,15
150,1.1957881915838657,1.2939883293039938,4,15,15
151,1.1957881915838657,1.2939883293039938,4,15,15
152,1.1957881915838657,1.2939883293039938,4,15,15
153,1.1977635267583455,1.2962564816927507,4,15,15
154,1.1977635267583455,1.2962564816927507,4,15,15
155,1.1977635267583455,1.2962564816927507,4,15,15
156,1.1977635267583455,1.2962564816927507,4,15,15
157,1.1977635267583455,1.2962564816927507,4,15,15
158,1.1977635267583455,1.2962564816927507,4,15,15
159,1.1977635267583455,1.2962564816927507,4,15,15
160,1.1977635267583455,1.2962564816927507,4,15,15
161,1.1977635267583455,1.2962564816927507,4,15,15
162,1.1977635267583455,1.2962564816927507,4,15,15
163,1.1977635267583455,1.2962564816927507,4,15,15
164,1.1977635267583455,1.2962564816927507,4,15,15
165,1.1977635267583455,1.2962564816927507,4,15,15
166,1.1977635267583455,1.2962564816927507,4,15,15
167,1.1977635267583455,1.2962564816927507,4,15,15
168,1.1977635267583455,1.2962564816927507,4,15,15
169,1.1977635267583455,1.2962564816927507,4,15,15
170,1.1977635267583455,1.2962564816927507,4,15,15
171,1.1977635267583455,1.2962564816927507,4,15,15
172,1.1977635267583455,1.2962564816927507,4,15,15
173,1.1977635267583455,1.2962564816927507,4,15,15
174,1.1977635267583455,1.2962564816927507,4,15,15
175,1.1977635267583455,1.2962564816927507,4,15,15
176,1.1977635267583455,1.2962564816927507,4,15,15
177,1.1977635267583455,1.2962564816927507,4,15,15
178,1.1977635267583455,1.2962564816927507,4,15,15
179,1.1977635267583455,1.2962564816927507,4,15,15
180,1.1977635267583455,1.2962564816927507,4,15,15
181,1.1977635267583455,1.2962564816927507,4,15,15
182,1.1977635267583455,1.2962564816927507,4,15,15
183,1.1977635267583455,1.2962564816927507,4,15,15
184,1.1977635267583455,1.2962564816927507,4,15,15
185,1.1977635267583455,1.2962564816927507,4,15,15
186,1.1977635267583455,1.2962564816927507,4,15,15
187,1.1977635267583455,1.2962564816927507,4,15,15
188,1.1977635267583455,1.2962564816927507,4,15,15
189,1.1977635267583455,1.2962564816927507,4,15,15
190,1.1977635267583455,1.2962564816927507,4,15,15
191,1.1977635267583455,1.2962564816927507,4,15,15
192,1.1977635267583455,1.2962564816927507,4,15,15
193,1.1977635267583455,1.2962564816927507,4,15,15
194,1.1977635267583455,1.2962564816927507,4,15,15
195,1.1977635267583455,1.2962564816927507,4,15,15
196,1.1977635267583455,1.2962564816927507,4,15,15
197,1.1977635267583455,1.2962564816927507,4,15,15
198,1.1977635267583455,1.2962564816927507,4,15,15
199,1.1977635267583455,1.2962564816927507,4,15,15
200,1.1977635267583455,1.2962564816927507,4,15,15
201,1.1977635267583455,1.2962564816927507,4,15,15
202,1.1977635267583455,1.2962564816927507,4,15,15
203,1.1977635267583455,1.2962564816927507,4,15,15
204,1.1977635267583455,1.2962564816927507,4,15,15
205,1.1977635267583455,1.2962564816927507,4,15,15
206,1.1977635267583455,1.2962564816927507,4,15,15
207,1.1977635267583455,1.2962564816927507,4,15,15
208,1.1977635267583455,1.2962564816927507,4,15,15
209,1.1977635267583455,1.2962564816927507,4,15,15
210,1.1977635267583455,1.2962564816927507,4,15,15
211,1.1977635267583455,1.2962564816927507,4,15,15
212,1.1977635267583455,1.2962564816927507,4,15,15
213,1.1977635267583455,1.2962564816927507,4,15,15
214,1.1977635267583455,1.2962564816927507,4,15,15
215,1.1977635267583455,1.2962564816927507,4,15,15
216,1.1977635267583455,1.2962564816927507,4,15,15
217,1.1977635267583455,1.2962564816927507,4,15,15
218,1.1977635267583455,1.2962564816927507,4,15,15
219,1.1977635267583455,1.2962564816927507,4,15,15
220,1.1977635267583455,1.2962564816927507,4,15,15
221,1.1977635267583455,1.2962564816927507,4,15,15
222,1.1977635267583455,1.2962564816927507,4,15,15
223,1.1977635267583455,1.2962564816927507,4,15,15
224,1.1977635267583455,1.2962564816927507,4,15,15
225,1.1977635267583455,1.2962564816927507,4,15,15
226,1.1977635267583455,1.2962564816927507,4,15,15
227,1.1977635267583455,1.2962564816927507,4,15,15
228,1.1977635267583455,1.2962564816927507,4,15,15
229,1.1977635267583455,1.2962564816927507,4,15,15
230,1.1977635267583455,1.2962564816927507,4,15,15
231,1.1977635267583455,1.2962564816927507,4,15,15
232,1.1977635267583455,1.2962564816927507,4,15,15
233,1.1977635267583455,1.2962564816927507,4,15,15
234,1.1977635267583455,1.2962564816927507,4,15,15
235,1.1977635267583455,1.2962564816927507,4,15,15
236,1.1977635267583455,1.2962564816927507,4,15,15
237,1.1977635267583455,1.2962564816927507,4,15,15
238,1.1977635267583455,1.2962564816927507,4,15,15
239,1.1977635267583455,1.2962564816927507,4,15,15
240,1.1977635267583455,1.2962564816927507,4,15,15
241,1.1977635267583455,1.2962564816927507,4,15,15
242,1.1977635267583455,1.2962564816927507,4,15,15
243,1.1977635267583455,1.2962564816927507,4,15,15
244,1.1977635267583455,1.2962564816927507,4,15,15
245,1.1977635267583455,1.2962564816927507,4,15,15
246,1.1977635267583455,1.2962564816927507,4,15,15
247,1.1977635267583455,1.2962564816927507,4,15,15
248,1.1977635267583455,1.2962564816927507,4,15,15
249,1.1977635267583455,1.2962564816927507,4,15,15
250,1.1977635267583455,1.2962564816927507,4,15,15
251,1.1977635267583455,1.2962564816927507,4,15,15
252,1.1977635267583455,1.2962564816927507,4,15,15
253,1.1977635267583455,1.2962564816927507,4,15,15
254,1.1977635267583455,1.2962564816927507,4,15,15
255,1.1977635267583455,1.2962564816927507,4,15,15
256,1.1977635267583455,1.2962564816927507,4,15,15
257,1.1977635267583455,1.2962564816927507,4,15,15
258,1.1977635267583455,1.2962564816927507,4,15,15
259,1.1977635267583455,1.2962564816927507,4,15,15
260,1.1977635267583455,1.2962564816927507,4,15,15
261,1.1977635267583455,1.2962564816927507,4,15,15
262,1.1977635267583455,1.2962564816927507,4,15,15
263,1.1977635267583455,1.2962564816927507,4,15,15
264,1.1977635267583455,1.2962564816927507,4,15,15
265,1.1977635267583455,1.2962564816927507,4,15,15
266,1.1977635267583455,1.2962564816927507,4,15,15
267,1.1977635267583455,1.2962564816927507,4,15,15
268,1.1977635267583455,1.2962564816927507,4,15,15
269,1.1977635267583455,1.2962564816927507,4,15,15
270,1.1977635267583455,1.2962564816927507,4,15,15
271,1.1977635267583455,1.2962564816927507,4,15,15
272,1.1977635267583455,1.2962564816927507,4,15,15
273,1.1977635267583455,1.2962564816927507,4,15,15
274,1.1977635267583455,1.2962564816927507,4,15,15
275,1.1977635267583455,1.2962564816927507,4,15,15
276,1.1977635267583455,1.2962564816927507,4,15,15
277,1.1977635267583455,1.2962564816927507,4,15,15
278,1.1977635267583455,1.2962564816927507,4,15,15
279,1.1977635267583455,1.2962564816927507,4,15,15
280,1.1977635267583455,1.2962564816927507,4,15,15
281,1.1977635267583455,1.2962564816927507,4,15,15
282,1.1977635267583455,1.2962564816927507,4,15,15
283,1.1977635267583455,1.2962564816927507,4,15,15
284,1.1977635267583455,1.2962564816927507,4,15,15
285,1.1977635267583455,1.2962564816927507,4,15,15
286,1.1977635267583455,1.2962564816927507,4,15,15
287,1.1977635267583455,1.2962564816927507,4,15,15
288,1.1977635267583455,1.2962564816927507,4,15,15
289,1.1977635267583455,1.2962564816927507,4,15,15
290,1.1977635267583455,1.2962564816927507,4,15,15
291,1.1977635267583455,1.2962564816927507,4,15,15
292,1.1977635267583455,1.2962564816927507,4,15,15
293,1.1977635267583455,1.2962564816927507,4,15,15
294,1.1977635267583455,1.2962564816927507,4,15,15
295,1.1977635267583455,1.2962564816927507,4,15,15
296,1.1977635267583455,1.2962564816927507,4,15,15
297,1.1977635267583455,1.2962564816927507,4,15,15
298,1.1977635267583455,1.2962564816927507,4,15,15
299,1.1977635267583455,1.2962564816927507,4,15,15
300,1.1977635267583455,1.2962564816927507,4,15,15
301,1.1977635267583455,1.2962564816927507,4,15,15
302,1.1977635267583455,1.2962564816927507,4,15,15
303,1.1977635267583455,1.2962564816927507,4,15,15
304,1.1977635267583455,1.2962564816927507,4,15,15
305,1.1977635267583455,1.2962564816927507,4,15,15
306,1.1977635267583455,1.2962564816927507,4,15,15
307,1.1977635267583455,1.2962564816927507,4,15,15
308,1.1977635267583455,1.2962564816927507,4,15,15
309,1.1977635267583455,1.2962564816927507,4,15,15
310,1.1977635267583455,1.2962564816927507,4,15,15
311,1.1977635267583455,1.2962564816927507,4,15,15
312,1.1977635267583455,1.2962564816927507,4,15,15
313,1.1977635267583455,1.2962564816927507,4,15,15
314,1.1977635267583455,1.2962564816927507,4,15,15
315,1.1977635267583455,1.2962564816927507,4,15,15
316,1.1977635267583455,1.2962564816927507,4,15,15
317,1.1977635267583455,1.2962564816927507,4,15,15
318,1.1977635267583455,1.2962564816927507,4,15,15
319,1.1977635267583455,1.2962564816927507,4,15,15
320,1.1977635267583455,1.2962564816927507,4,15,15
321,1.1977635267583455,1.2962564816927507,4,15,15
322,1.1977635267583455,1.2962564816927507,4,15,15
323,1.1977635267583455,1.2962564816927507,4,15,15
324,1.1977635267583455,1.2962564816927507,4,15,15
325,1.1977635267583455,1.2962564816927507,4,15,15
326,1.1977635267583455,1.2962564816927507,4,15,15
327,1.1977635267583455,1.2962564816927507,4,15,15
328,1.1977635267583455,1.2962564816927507,4,15,15
329,1.1977635267583455,1.2962564816927507,4,15,15
330,1.1977635267583455,1.2962564816927507,4,15,15
331,1.1977635267583455,1.2962564816927507,4,15,15
332,1.1977635267583455,1.2962564816927507,4,15,15
333,1.1977635267583455,1.2962564816927507,4,15,15
334,1.1977635267583455,1.2962564816927507,4,15,15
335,1.1977635267583455,1.2962564816927507,4,15,15
336,1.1977635267583455,1.2962564816927507,4,15,15
337,1.1977635267583455,1.2962564816927507,4,15,15
338,1.1977635267583455,1.2962564816927507,4,15,15
339,1.1977635267583455,1.2962564816927507,4,15,15
340,1.1977635267583455,1.2962564816927507,4,15,15
341,1.1977635267583455,1.2962564816927507,4,15,15
342,1.1977635267583455,1.2962564816927507,4,15,15
343,1.1977635267583455,1.2962564816927507,4,15,15
344,1.1977635267583455,1.2962564816927507,4,15,15
345,1.1977635267583455,1.2962564816927507,4,15,15
346,1.1977635267583455,1.2962564816927507,4,15,15
347,1.1977635267583455,1.2962564816927507,4,15,15
348,1.1977635267583455,1.2962564816927507,4,15,15
349,1.1977635267583455,1.2962564816927507,4,15,15
350,1.1977635267583455,1.2962564816927507,4,15,15
351,1.1977635267583455,1.2962564816927507,4,15,15
352,1.1977635267583455,1.2962564816927507,4,15,15
353,1.1977635267583455,1.2962564816927507,4,15,15
354,1.1977635267583455,1.2962564816927507,4,15,15
355,1.1977635267583455,1.2962564816927507,4,15,15
356,1.1977635267583455,1.2962564816927507,4,15,15
357,1.1977635267583455,1.2962564816927507,4,15,15
358,1.1977635267583455,1.2962564816927507,4,15,15
359,1.1977635267583455,1.2962564816927507,4,15,15
360,1.1977635267583455,1.2962564816927507,4,15,15
361,1.1977635267583455,1.2962564816927507,4,15,15
362,1.1977635267583455,1.2962564816927507,4,15,15
363,1.1977635267583455,1.2962564816927507,4,15,15
364,1.1977635267583455,1.2962564816927507,4,15,15
365,1.1977635267583455,1.2962564816927507,4,15,15
366,1.1977635267583455,1.2962564816927507,4,15,15
367,1.1977635267583455,1.2962564816927507,4,15,15
368,1.1977635267583455,1.2962564816927507,4,15,15
369,1.1977635267583455,1.2962564816927507,4,15,15
370,1.1977635267583455,1.2962564816927507,4,15,15
371,1.1977635267583455,1.2962564816927507,4,15,15
372,1.1977635267583455,1.2962564816927507,4,15,15
373,1.1977635267583455,1.2962564816927507,4,15,15
374,1.1977635267583455,1.2962564816927507,4,15,15
375,1.1977635267583455,1.2962564816927507,4,15,15
376,1.1977635267583455,1.2962564816927507,4,15,15
377,1.1977635267583455,1.2962564816927507,4,15,15
378,1.1977635267583455,1.2962564816927507,4,15,15
379,1.1977635267583455,1.2962564816927507,4,15,15
380,1.1977635267583455,1.2962564816927507,4,15,15
381,1.1977635267583455,1.2962564816927507,4,15,15
382,1.1977635267583455,1.2962564816927507,4,15,15
383,1.1977635267583455,1.2962564816927507,4,15,15
384,1.1977635267583455,1.2962564816927507,4,15,15
385,1.1977635267583455,1.2962564816927507,4,15,15
386,1.1977635267583455,1.2962564816927507,4,15,15
387,1.1977635267583455,1.2962564816927507,4,15,15
388,1.1977635267583455,1.2962564816927507,4,15,15
389,1.1977635267583455,1.2962564816927507,4,15,15
390,1.1977635267583455,1.2962564816927507,4,15,15
391,1.1977635267583455,1.2962564816927507,4,15,15
392,1.1977635267583455,1.2962564816927507,4,15,15
393,1.1977635267583455,1.2962564816927507,4,15,15
394,1.1977635267583455,1.2962564816927507,4,15,15
395,1.1977635267583455,1.2962564816927507,4,15,15
396,1.1977635267583455,1.2962564816927507,4,15,15
397,1.1977635267583455,1.2962564816927507,4,15,15
398,1.1977635267583455,1.2962564816927507,4,15,15
399,1.1977635267583455,1.2962564816927507,4,15,15
400,1.1977635267583455,1.2962564816927507,4,15,15
401,1.1977635267583455,1.2962564816927507,4,15,15
402,1.1977635267583455,1.2962564816927507,4,15,15
403,1.1977635267583455,1.2962564816927507,4,15,15
404,1.1977635267583455,1.2962564816927507,4,15,15
405,1.1977635267583455,1.2962564816927507,4,15,15
406,1.1977635267583455,1.2962564816927507,4,15,15
407,1.1977635267583455,1.2962564816927507,4,15,15
408,1.1977635267583455,1.2962564816927507,4,15,15
409,1.1977635267583455,1.2962564816927507,4,15,15
410,1.1977635267583455,1.2962564816927507,4,15,15
411,1.1977635267583455,1.2962564816927507,4,15,15
412,1.1977635267583455,1.2962564816927507,4,15,15
413,1.1977635267583455,1.2962564816927507,4,15,15
414,1.1977635267583455,1.2962564816927507,4,15,15
415,1.1977635267583455,1.2962564816927507,4,15,15
416,1.1977635267583455,1.2962564816927507,4,15,15
417,1.1977635267583455,1.2962564816927507,4,15,15
418,1.1977635267583455,1.2962564816927507,4,15,15
419,1.1977635267583455,1.2962564816927507,4,15,15
420,1.1977635267583455,1.2962564816927507,4,15,15
421,1.1977635267583455,1.2962564816927507,4,15,15
422,1.1977635267583455,1.2962564816927507,4,15,15
423,1.1977635267583455,1.2962564816927507,4,15,15
424,1.1977635267583455,1.2962564816927507,4,15,15
425,1.1977635267583455,1.2962564816927507,4,15,15
426,1.1977635267583455,1.2962564816927507,4,15,15
427,1.1977635267583455,1.2962564816927507,4,15,15
428,1.1977635267583455,1.2962564816927507,4,15,15
429,1.1977635267583455,1.2962564816927507,4,15,15
430,1.1977635267583455,1.2962564816927507,4,15,15
431,1.1977635267583455,1.2962564816927507,4,15,15
432,1.1977635267583455,1.2962564816927507,4,15,15
433,1.1977635267583455,1.2962564816927507,4,15,15
434,1.1977635267583455,1.2962564816927507,4,15,15
435,1.1977635267583455,1.2962564816927507,4,15,15
436,1.1977635267583455,1.2962564816927507,4,15,15
437,1.1977635267583455,1.2962564816927507,4,15,15
438,1.1977635267583455,1.2962564816927507,4,15,15
439,1.1977635267583455,1.2962564816927507,4,15,15
440,1.1977635267583455,1.2962564816927507,4,15,15
441,1.1977635267583455,1.2962564816927507,4,15,15
442,1.205642575258444,1.3053034945275914,4,15,15
443,1.205642575258444,1.3053034945275914,4,15,15
444,1.205642575258444,1.3053034945275914,4,15,15
445,1.205642575258444,1.3053034945275914,4,15,15
446,1.205642575258444,1.3053034945275914,4,15,15
447,1.205642575258444,1.3053034945275914,4,15,15
448,1.205642575258444,1.3053034945275914,4,15,15
449,1.205642575258444,1.3053034945275914,4,15,15
450,1.205642575258444,1.3053034945275914,4,15,15
451,1.205642575258444,1.3053034945275914,4,15,15
452,1.205642575258444,1.3053034945275914,4,15,15
453,1.205642575258444,1.3053034945275914,4,15,15
454,1.205642575258444,1.3053034945275914,4,15,15
455,1.205642575258444,1.3053034945275914,4,15,15
456,1.205642575258444,1.3053034945275914,4,15,15
457,1.205642575258444,1.3053034945275914,4,15,15
458,1.205642575258444,1.3053034945275914,4,15,15
459,1.205642575258444,1.3053034945275914,4,15,15
460,1.205642575258444,1.3053034945275914,4,15,15
461,1.205642575258444,1.3053034945275914,4,15,15
462,1.205642575258444,1.3053034945275914,4,15,15
463,1.205642575258444,1.3053034945275914,4,15,15
464,1.205642575258444,1.3053034945275914,4,15,15
465,1.205642575258444,1.3053034945275914,4,15,15
466,1.205642575258444,1.3053034945275914,4,15,15
467,1.205642575258444,1.3053034945275914,4,15,15
468,1.205642575258444,1.3053034945275914,4,15,15
469,1.205642575258444,1.3053034945275914,4,15,15
470,1.205642575258444,1.3053034945275914,4,15,15
471,1.205642575258444,1.3053034945275914,4,15,15
472,1.205642575258444,1.3053034945275914,4,15,15
473,1.205642575258444,1.3053034945275914,4,15,15
474,1.205642575258444,1.3053034945275914,4,15,15
475,1.205642575258444,1.3053034945275914,4,15,15
476,1.205642575258444,1.3053034945275914,4,15,15
477,1.205642575258444,1.3053034945275914,4,15,15
478,1.205642575258444,1.3053034945275914,4,15,15
479,1.205642575258444,1.3053034945275914,4,15,15
480,1.205642575258444,1.3053034945275914,4,15,15
481,1.205642575258444,1.3053034945275914,4,15,15
482,1.205642575258444,1.3053034945275914,4,15,15
483,1.205642575258444,1.3053034945275914,4,15,15
484,1.205642575258444,1.3053034945275914,4,15,15
485,1.205642575258444,1.3053034945275914,4,15,15
486,1.205642575258444,1.3053034945275914,4,15,15
487,1.205642575258444,1.3053034945275914,4,15,15
488,1.205642575258444,1.3053034945275914,4,15,15
489,1.205642575258444,1.3053034945275914,4,15,15
490,1.205642575258444,1.3053034945275914,4,15,15
491,1.205642575258444,1.3053034945275914,4,15,15
492,1.205642575258444,1.3053034945275914,4,15,15
493,1.205642575258444,1.3053034945275914,4,15,15
494,1.205642575258444,1.3053034945275914,4,15,15
495,1.205642575258444,1.3053034945275914,4,15,15
496,1.205642575258444,1.3053034945275914,4,15,15
497,1.205642575258444,1.3053034945275914,4,15,15
498,1.205642575258444,1.3053034945275914,4,15,15
499,1.205642575258444,1.3053034945275914,4,15,15
500,1.205642575258444,1.3053034945275914,4,15,15
501,1.205642575258444,1.3053034945275914,4,15,15
502,1.205642575258444,1.3053034945275914,4,15,15
503,1.205642575258444,1.3053034945275914,4,15,15
504,1.205642575258444,1.3053034945275914,4,15,15
505,1.205642575258444,1.3053034945275914,4,15,15
506,1.205642575258444,1.3053034945275914,4,15,15
507,1.205642575258444,1.3053034945275914,4,15,15
508,1.205642575258444,1.3053034945275914,4,15,15
509,1.205642575258444,1.3053034945275914,4,15,15
510,1.205642575258444,1.3053034945275914,4,15,15
511,1.205642575258444,1.3053034945275914,4,15,15
512,1.205642575258444,1.3053034945275914,4,15,15
513,1.205642575258444,1.3053034945275914,4,15,15
514,1.205642575258444,1.3053034945275914,4,15,15
515,1.205642575258444,1.3053034945275914,4,15,15
516,1.205642575258444,1.3053034945275914,4,15,15
517,1.205642575258444,1.3053034945275914,4,15,15
518,1.205642575258444,1.3053034945275914,4,15,15
519,1.205642575258444,1.3053034945275914,4,15,15
520,1.205642575258444,1.3053034945275914,4,15,15
521,1.205642575258444,1.3053034945275914,4,15,15
522,1.205642575258444,1.3053034945275914,4,15,15
523,1.205642575258444,1.3053034945275914,4,15,15
524,1.205642575258444,1.3053034945275914,4,15,15
525,1.205642575258444,1.3053034945275914,4,15,15
526,1.205642575258444,1.3053034945275914,4,15,15
527,1.205642575258444,1.3053034945275914,4,15,15
528,1.205642575258444,1.3053034945275914,4,15,15
529,1.205642575258444,1.3053034945275914,4,15,15
530,1.205642575258444,1.3053034945275914,4,15,15
531,1.205642575258444,1.3053034945275914,4,15,15
532,1.205642575258444,1.3053034945275914,4,15,15
533,1.205642575258444,1.3053034945275914,4,15,15
534,1.205642575258444,1.3053034945275914,4,15,15
535,1.205642575258444,1.3053034945275914,4,15,15
536,1.205642575258444,1.3053034945275914,4,15,15
537,1.205642575258444,1.3053034945275914,4,15,15
538,1.205642575258444,1.3053034945275914,4,15,15
539,1.205642575258444,1.3053034945275914,4,15,15
540,1.205642575258444,1.3053034945275914,4,15,15
541,1.205642575258444,1.3053034945275914,4,15,15
