0: [[3, 5], [10, 1, 2, 8, 4], [6, 9, 11], [12, 13, 7]]
1: [[3, 5], [10, 1, 2, 8, 4], [6, 9, 11], [12, 13, 7]]
2: [[3, 5], [10, 1, 2, 8, 4], [6, 9, 11], [12, 13, 7]]
3: [[3, 5], [10, 1, 2], [8, 4], [6, 9, 11], [12, 13, 7]]
4: [[3, 5], [10, 1, 2], [8, 4], [6, 9, 11], [12, 13, 7]]
5: [[3, 5], [10, 1, 2], [8, 4], [6, 9, 11], [12, 13, 7]]
6: [[3, 5], [10, 1, 2], [8, 4], [6, 9, 11], [12, 13, 7]]
7: [[3, 5], [10, 1, 2], [8, 4], [6, 9, 11], [12, 13, 7]]
8: [[3, 5], [10, 1, 2], [8, 4], [6, 9, 11], [12, 13, 7]]
9: [[3, 5], [10, 1, 2], [8, 4], [6, 9, 11], [12, 13, 7]]
10: [[3, 5], [10, 1, 2], [8, 4], [6, 9, 11], [12, 13, 7]]
11: [[3, 5], [10, 1, 2], [8, 4, 6], [9, 11], [12, 13, 7]]
12: [[3, 5, 10, 1], [2, 8, 4], [6, 9, 11], [12, 13, 7]]
13: [[3, 5], [10, 1, 2], [8, 4, 6], [9, 11, 12, 13, 7]]
14: [[3, 5], [10, 1, 2], [8, 4, 6], [9, 11, 12, 13, 7]]
15: [[3, 5], [10, 1, 2], [8, 4, 6], [9, 11, 12, 13, 7]]
16: [[3, 5], [10, 1, 2], [8, 4, 6], [9, 11, 12, 13, 7]]
17: [[3, 5], [10, 1, 2], [8, 4, 6], [9, 11, 12, 13, 7]]
18: [[3, 5], [10, 1], [2, 8, 4], [6, 9, 11], [12, 13, 7]]
19: [[3, 5], [10, 1], [2, 8, 4], [6, 9, 11], [12, 13, 7]]
20: [[3, 5], [10, 1], [2, 8, 4], [6, 9, 11], [12, 13, 7]]
21: [[3, 5], [10, 1], [2, 8, 4], [6, 9, 11], [12, 13, 7]]
22: [[3, 5], [10, 1], [2, 8, 4], [6, 9, 11], [12, 13, 7]]
23: [[3, 5], [10, 1, 2], [8, 4, 6], [9, 11, 12], [13, 7]]
24: [[3, 5, 10], [1, 2, 8, 4, 6], [9, 11, 12, 13, 7]]
25: [[3, 5, 10], [1, 2, 8, 4, 6], [9, 11, 12, 13, 7]]
