0: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
1: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
2: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
3: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
4: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
5: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
6: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
7: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
8: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
9: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
10: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
11: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
12: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
13: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
14: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
15: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
16: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
17: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
18: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
19: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
20: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
21: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
22: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
23: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
24: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
25: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
26: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
27: [[10, 5, 3, 1, 4], [6, 8, 11, 9], [7, 2, 12, 13]]
