0: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
1: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
2: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
3: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
4: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
5: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
6: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
7: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
8: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
9: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
10: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
11: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
12: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
13: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
14: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
15: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
16: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
17: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
18: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
19: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
20: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
21: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
22: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
23: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
24: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
25: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
26: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
27: [[5, 9, 2, 10], [6, 1, 4, 3], [12, 7, 8, 13, 11]]
