0: [[8, 11, 7, 13], [5, 1, 4, 3], [6, 2, 10, 9, 12]]
1: [[8, 11, 7, 13], [5, 1, 4, 3], [6, 2, 10, 9, 12]]
2: [[8, 11, 7, 13], [5, 1, 4, 3], [6, 2, 10, 9, 12]]
3: [[8, 11, 7, 13], [5, 1, 4, 3], [6, 2, 10, 9, 12]]
4: [[8, 11, 7, 13], [5, 1, 4, 3], [6, 2, 10, 9, 12]]
5: [[8, 11, 7, 13], [5, 1, 4, 3], [6, 2, 10, 9, 12]]
6: [[8, 11, 7, 13], [5, 1, 4, 3], [6, 2, 10, 9, 12]]
7: [[8, 11, 7, 13], [5, 1, 4, 3], [6, 2, 10, 9, 12]]
8: [[8, 11, 7, 13], [5, 1, 4, 3], [6, 2, 10, 9, 12]]
9: [[8, 11, 7, 13], [5, 1, 4, 3], [6, 2, 10, 9, 12]]
10: [[8, 11, 7, 13], [5, 1, 4, 3], [6, 2, 10, 9, 12]]
11: [[8, 11, 7, 13], [5, 1, 4, 3], [6, 2, 10, 9, 12]]
12: [[8, 11, 7, 13], [5, 1, 4, 3], [6, 2, 10, 9, 12]]
13: [[8, 11, 7, 13], [5, 1, 4, 3], [6, 2, 10, 9, 12]]
14: [[8, 11, 7, 13], [5, 1, 4, 3], [6, 2, 10, 9, 12]]
15: [[8, 11, 7, 13], [5, 1, 4, 3, 6], [2, 10, 9, 12]]
16: [[8, 11, 7, 13], [5, 1, 4, 3, 6], [2, 10, 9, 12]]
17: [[8, 11, 7, 13], [5, 1, 4, 3, 6], [2, 10, 9, 12]]
18: [[8, 11, 7, 13], [5, 1, 4, 3, 6], [2, 10, 9, 12]]
19: [[8, 11, 7, 13], [5, 1, 4, 3, 6], [2, 10, 9, 12]]
20: [[8, 11, 7, 13], [5, 1, 4, 3, 6], [2, 10, 9, 12]]
21: [[8, 11, 7, 13], [5, 1, 4, 3, 6], [2, 10, 9, 12]]
22: [[8, 11, 7, 13], [5, 1, 4, 3, 6], [2, 10, 9, 12]]
23: [[8, 11, 7, 13, 5], [1, 4, 3, 6], [2, 10, 9, 12]]
24: [[8, 11, 7, 13, 5], [1, 4, 3, 6], [2, 10, 9, 12]]
25: [[8, 11, 7, 13, 5], [1, 4, 3, 6], [2, 10, 9, 12]]
