0: [[1, 3, 2, 4, 10, 5], [6, 8, 11], [7, 13, 12, 9]]
1: [[1, 3, 2, 4, 10, 5], [6, 8, 11], [7, 13, 12, 9]]
2: [[1, 3, 2, 4, 10, 5], [6, 8, 11], [7, 13, 12, 9]]
3: [[1, 3, 2, 4, 10, 5], [6, 8, 11], [7, 13, 12, 9]]
4: [[1, 3, 2, 4, 10, 5], [6, 8, 11], [7, 13, 12, 9]]
5: [[1, 3, 2, 4, 10, 5], [6, 8, 11], [7, 13, 12, 9]]
6: [[1, 3, 2, 4, 10, 5], [6, 8, 11], [7, 13, 12, 9]]
7: [[1, 3, 2, 4, 10, 5], [6, 8, 11], [7, 13, 12, 9]]
8: [[1, 3, 2, 4, 10, 5], [6, 8, 11], [7, 13, 12, 9]]
9: [[1, 3, 2, 4, 10, 5], [6, 8, 11], [7, 13, 12, 9]]
10: [[1, 3, 2, 4, 10, 5], [6, 8, 11], [7, 13, 12, 9]]
11: [[1, 3, 2, 4, 10, 5], [6, 8], [11, 7, 13, 12, 9]]
12: [[1, 3, 2, 4, 10, 5], [6, 8], [11, 7, 13, 12, 9]]
13: [[1, 3, 2, 4, 10, 5], [6, 8], [11, 7, 13, 12, 9]]
14: [[1, 3, 2, 4, 10, 5], [6, 8], [11, 7, 13, 12, 9]]
15: [[1, 3, 2, 4, 10, 5, 6], [8, 11], [7, 13, 12, 9]]
16: [[1, 3, 2, 4, 10, 5, 6], [8, 11], [7, 13, 12, 9]]
17: [[1, 3, 2, 4, 10, 5, 6], [8, 11], [7, 13, 12, 9]]
18: [[1, 3, 2, 4, 10, 5, 6], [8, 11], [7, 13, 12, 9]]
19: [[1, 3, 2, 4, 10, 5, 6], [8, 11], [7, 13, 12, 9]]
20: [[1, 3, 2, 4, 10], [5, 6, 8, 11], [7, 13, 12, 9]]
21: [[1, 3, 2, 4, 10], [5, 6, 8, 11], [7, 13, 12, 9]]
22: [[1, 3, 2, 4, 10], [5, 6, 8], [11, 7, 13, 12, 9]]
23: [[1, 3, 2, 4, 10], [5, 6, 8], [11, 7, 13, 12, 9]]
24: [[1, 3, 2, 4, 10], [5, 6, 8], [11, 7, 13, 12, 9]]
25: [[1, 3, 2, 4, 10], [5, 6], [8, 11, 7, 13, 12, 9]]
26: [[1, 3, 2, 4, 10], [5, 6], [8, 11, 7, 13, 12, 9]]
27: [[1, 3, 2, 4, 10, 5], [6, 8, 11, 7], [13, 12, 9]]
