0: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
1: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
2: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
3: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
4: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
5: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
6: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
7: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
8: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
9: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
10: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
11: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
12: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
13: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
14: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
15: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
16: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
17: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
18: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
19: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
20: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
21: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
22: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
23: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
24: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
25: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
26: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
27: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
28: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
29: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
30: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
31: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
32: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
33: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
34: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
35: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
36: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
37: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
38: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
39: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
40: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
41: [[3, 1, 8, 2, 11], [5, 7, 10, 6, 9], [19, 17, 18, 20, 12], [13, 15, 16, 14, 4]]
