0: [[6, 3, 4], [2, 1], [7, 5], [13, 9], [10, 8], [11, 12], [14, 15, 16], [19, 17, 18, 20]]
1: [[6, 3, 4], [2, 1], [7, 5], [13, 9], [10, 8], [11, 12], [14, 15, 16], [19, 17, 18, 20]]
2: [[6, 3], [4, 2, 1], [7, 5], [13, 9], [10, 8], [11, 12], [14, 15, 16], [19, 17, 18, 20]]
3: [[6, 3, 4], [2, 1], [7, 5], [13, 9], [10, 8], [11, 12], [14, 15, 16, 19, 17, 18, 20]]
4: [[6, 3, 4], [2, 1], [7, 5], [13, 9], [10, 8, 11], [12, 14, 15, 16], [19, 17, 18, 20]]
5: [[6, 3, 4], [2, 1], [7, 5], [13, 9], [10, 8, 11], [12, 14, 15, 16], [19, 17, 18, 20]]
6: [[6, 3], [4, 2, 1], [7, 5], [13, 9], [10, 8], [11, 12], [14, 15, 16], [19, 17], [18, 20]]
7: [[6, 3], [4, 2, 1, 7, 5, 13, 9], [10, 8], [11, 12], [14, 15, 16, 19, 17, 18, 20]]
8: [[6, 3, 4], [2, 1], [7, 5], [13, 9], [10, 8], [11, 12], [14, 15], [16, 19], [17, 18, 20]]
9: [[6, 3, 4], [2, 1], [7, 5], [13, 9], [10, 8], [11, 12, 14], [15, 16], [19], [17, 18, 20]]
10: [[6, 3, 4], [2, 1], [7, 5], [13, 9], [10, 8], [11, 12, 14, 15, 16, 19, 17, 18, 20]]
11: [[6, 3], [4, 2, 1], [7, 5], [13, 9, 10, 8], [11, 12], [14, 15, 16, 19], [17, 18, 20]]
12: [[6, 3, 4], [2, 1], [7, 5], [13, 9], [10, 8, 11], [12, 14, 15], [16, 19, 17, 18, 20]]
13: [[6, 3], [4, 2, 1], [7, 5], [13, 9], [10, 8], [11, 12], [14, 15], [16, 19, 17], [18, 20]]
14: [[6, 3, 4], [2, 1], [7, 5], [13, 9, 10], [8, 11, 12], [14, 15, 16, 19, 17, 18, 20]]
15: [[6, 3, 4], [2, 1], [7, 5], [13, 9], [10, 8, 11], [12, 14, 15, 16, 19, 17, 18, 20]]
16: [[6, 3], [4, 2, 1], [7, 5], [13, 9], [10, 8], [11, 12, 14, 15, 16], [19, 17], [18, 20]]
17: [[6, 3, 4], [2, 1], [7, 5, 13, 9, 10, 8], [11], [12, 14, 15, 16, 19, 17, 18, 20]]
18: [[6, 3], [4, 2, 1], [7, 5], [13, 9, 10, 8, 11, 12, 14], [15, 16, 19, 17, 18, 20]]
19: [[6, 3], [4, 2], [1, 7, 5], [13, 9], [10, 8], [11, 12], [14, 15, 16, 19, 17], [18, 20]]
20: [[6, 3], [4, 2, 1], [7, 5, 13, 9, 10, 8], [11, 12, 14], [15, 16, 19], [17, 18, 20]]
21: [[6, 3, 4], [2, 1], [7, 5], [13, 9, 10, 8], [11, 12, 14, 15, 16, 19, 17], [18, 20]]
22: [[6, 3, 4], [2, 1], [7, 5], [13, 9], [10, 8, 11], [12, 14], [15, 16, 19], [17, 18, 20]]
23: [[6, 3, 4], [2, 1], [7, 5, 13], [9, 10, 8], [11, 12], [14, 15], [16, 19, 17], [18, 20]]
24: [[6, 3, 4], [2, 1], [7, 5], [13, 9, 10], [8, 11], [12, 14], [15, 16, 19, 17, 18, 20]]
25: [[6, 3], [4, 2], [1, 7, 5], [13, 9], [10, 8], [11, 12], [14, 15], [16, 19], [17, 18, 20]]
26: [[6, 3, 4], [2, 1, 7], [5, 13], [9, 10], [8, 11, 12, 14], [15, 16], [19, 17, 18, 20]]
27: [[6, 3, 4], [2, 1, 7], [5, 13], [9, 10], [8, 11], [12, 14, 15, 16], [19, 17, 18, 20]]
28: [[6, 3, 4], [2, 1], [7, 5], [13, 9, 10, 8], [11, 12], [14, 15], [16, 19, 17], [18], [20]]
29: [[6, 3, 4], [2, 1, 7, 5], [13, 9], [10, 8, 11, 12, 14, 15, 16, 19, 17, 18, 20]]
30: [[6, 3, 4], [2, 1, 7], [5, 13], [9, 10, 8, 11, 12, 14, 15], [16, 19, 17, 18, 20]]
31: [[6, 3], [4, 2, 1], [7, 5], [13, 9], [10, 8, 11], [12, 14, 15], [16, 19], [17, 18, 20]]
32: [[6, 3], [4, 2], [1, 7], [5, 13, 9], [10, 8], [11, 12], [14, 15], [16, 19], [17, 18, 20]]
33: [[6, 3, 4], [2, 1, 7], [5, 13], [9, 10], [8, 11, 12, 14, 15, 16, 19, 17, 18, 20]]
34: [[6, 3], [4, 2], [1, 7, 5, 13], [9, 10, 8, 11, 12, 14, 15], [16, 19, 17, 18, 20]]
35: [[6, 3], [4, 2], [1, 7], [5, 13], [9, 10, 8], [11, 12, 14, 15], [16, 19, 17, 18, 20]]
36: [[6, 3], [4, 2], [1, 7], [5, 13], [9, 10, 8], [11, 12], [14, 15], [16, 19, 17], [18, 20]]
37: [[6, 3], [4, 2], [1, 7], [5, 13], [9, 10, 8], [11, 12, 14], [15, 16], [19, 17], [18, 20]]
38: [[6, 3], [4, 2], [1, 7], [5, 13], [9, 10], [8, 11, 12], [14, 15], [16, 19], [17, 18, 20]]
39: [[6, 3], [4, 2], [1, 7], [5, 13, 9, 10, 8, 11, 12, 14, 15, 16, 19], [17, 18, 20]]
