0: [[5, 3, 1], [4, 10], [6, 9, 8, 7, 13, 11, 12, 2]]
1: [[5, 1, 3], [4, 10], [2, 6, 9, 8, 7, 13, 11, 12]]
2: [[5, 1, 3], [4, 10], [2, 6, 9, 8, 7, 13, 11, 12]]
3: [[5, 1, 3], [4, 10], [2, 6, 9, 8, 7, 13, 11, 12]]
4: [[5, 1, 3], [4, 10], [2, 6, 9, 8, 7, 13, 11, 12]]
5: [[5, 1, 3], [4, 10], [2, 6, 9, 8, 7, 13, 11, 12]]
6: [[5, 1, 3], [4, 10], [2, 6, 9, 8, 7, 13, 11, 12]]
7: [[5, 1, 3], [4, 10], [2, 6, 9, 8, 7, 13, 11, 12]]
8: [[5, 1, 3], [4, 10], [2, 6, 9, 8, 7, 13, 11, 12]]
9: [[5, 1, 3], [4, 10], [2, 6, 9, 8, 7, 13, 11, 12]]
10: [[5, 1, 3], [4, 10], [2, 6, 9, 8, 7, 13, 11, 12]]
11: [[5, 1, 3, 4], [10, 2], [6, 9, 8, 7, 13, 11, 12]]
12: [[5, 1, 3, 4], [10, 2], [6, 9, 8, 7, 13, 11, 12]]
13: [[5, 1, 3, 4], [10, 2], [6, 9, 8, 7, 13, 11, 12]]
14: [[5, 1, 3, 4], [10, 2], [6, 9, 8, 7, 13, 11, 12]]
15: [[5, 1, 3, 4], [10, 2], [6, 9, 8, 7, 13, 11, 12]]
16: [[5, 1, 3, 4], [10, 2], [6, 9, 8, 7, 13, 11, 12]]
17: [[5, 1, 3, 4, 10], [2, 6], [9, 8, 7, 13, 11, 12]]
18: [[5, 1, 3, 4, 10], [2, 6], [9, 8, 7, 13, 11, 12]]
19: [[5, 1, 3, 4, 10, 2, 6], [9, 8], [7, 13, 11, 12]]
20: [[5, 1, 3, 4, 10, 2, 6], [9, 8], [7, 13, 11, 12]]
21: [[5, 1, 3, 4, 10, 2, 6], [9, 8], [7, 13, 11, 12]]
22: [[5, 1, 3, 4, 10, 2, 6], [9, 8], [7, 13, 11, 12]]
23: [[5, 1], [3, 4], [10, 2, 6, 9, 8, 7, 13, 11, 12]]
24: [[5, 1], [3, 4], [10, 2, 6, 9, 8, 7, 13, 11, 12]]
25: [[5, 1], [3, 4], [10, 2, 6, 9, 8, 7, 13, 11, 12]]
26: [[5, 1], [3, 4], [10, 2, 6, 9, 8, 7, 13, 11, 12]]
27: [[5, 1], [3, 4], [10, 2, 6, 9, 8, 7, 13, 11, 12]]
