0: [[11, 8, 6], [4, 10, 3, 1, 5, 2], [13, 7, 9, 12]]
1: [[11, 8, 6], [4, 10, 2, 3, 1, 5], [13, 7, 9, 12]]
2: [[11, 8, 6], [4, 10, 2, 3, 1, 5], [13, 7, 9, 12]]
3: [[11, 8, 6], [4, 10, 2, 3, 1, 5], [13, 7, 9, 12]]
4: [[11, 8, 6, 4, 10, 2], [3, 1, 5], [13, 7, 9, 12]]
5: [[11, 8, 6, 4, 10, 2], [3, 1, 5], [13, 7, 9, 12]]
6: [[11, 8, 6, 4, 10, 2], [3, 1, 5], [13, 7, 9, 12]]
7: [[11, 8, 6], [4, 10, 2, 3, 1, 5, 13], [7, 9, 12]]
8: [[11, 8, 6], [4, 10, 2, 3, 1, 5, 13], [7, 9, 12]]
9: [[11, 8, 6], [4, 10, 2, 3, 1, 5, 13], [7, 9, 12]]
10: [[11, 8, 6], [4, 10, 2, 3, 1, 5, 13], [7, 9, 12]]
11: [[11, 8, 6, 4, 10], [2, 3, 1, 5], [13, 7, 9, 12]]
12: [[11, 8, 6, 4], [10, 2, 3, 1, 5], [13, 7, 9, 12]]
13: [[11, 8, 6, 4], [10, 2, 3, 1, 5], [13, 7, 9, 12]]
14: [[11, 8, 6, 4, 10], [2, 3, 1, 5], [13, 7, 9, 12]]
15: [[11, 8, 6, 4, 10], [2, 3, 1, 5], [13, 7, 9, 12]]
16: [[11, 8, 6, 4, 10], [2, 3, 1, 5], [13, 7, 9, 12]]
17: [[11, 8, 6], [4, 10, 2, 3, 1], [5, 13, 7, 9, 12]]
18: [[11, 8, 6], [4, 10, 2, 3, 1], [5, 13, 7, 9, 12]]
19: [[11, 8, 6, 4, 10, 2], [3, 1, 5, 13], [7, 9, 12]]
20: [[11, 8], [6, 4, 10, 2, 3, 1, 5, 13], [7, 9, 12]]
21: [[11, 8], [6, 4, 10, 2, 3, 1], [5, 13, 7, 9, 12]]
22: [[11, 8], [6, 4, 10, 2, 3, 1], [5, 13, 7, 9, 12]]
23: [[11, 8], [6, 4, 10, 2, 3, 1], [5, 13, 7, 9, 12]]
24: [[11, 8, 6, 4], [10, 2, 3, 1], [5, 13, 7, 9, 12]]
25: [[11, 8, 6, 4, 10, 2, 3], [1, 5], [13, 7, 9, 12]]
26: [[11, 8, 6, 4], [10, 2, 3, 1, 5, 13, 7], [9, 12]]
27: [[11, 8, 6, 4, 10, 2, 3], [1, 5, 13], [7, 9, 12]]
