0: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
1: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
2: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
3: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
4: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
5: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
6: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
7: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
8: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
9: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
10: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
11: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
12: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
13: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
14: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
15: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
16: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
17: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
18: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
19: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
20: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
21: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
22: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
23: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
24: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
25: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
26: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
27: [[5, 10, 1, 3, 4], [9, 6, 2, 11], [8, 13, 7, 12]]
