0: [[9, 11], [5, 3, 1], [10, 4, 6, 2, 8], [7, 13, 12]]
1: [[9, 11], [5, 3], [1, 10, 4], [6, 2, 8], [7, 13, 12]]
2: [[9, 11], [5, 3, 1, 10, 4], [6, 2, 8], [7, 13, 12]]
3: [[9, 11], [5, 3], [1, 10, 4], [6, 2, 8, 7, 13, 12]]
4: [[9, 11], [5, 3], [1, 10, 4, 6, 2], [8, 7, 13, 12]]
5: [[9, 11], [5, 3], [1, 10, 4, 6], [2, 8, 7, 13, 12]]
6: [[9, 11], [5, 3], [1, 10, 4, 6], [2, 8, 7, 13, 12]]
7: [[9, 11], [5, 3, 1, 10, 4, 6, 2], [8, 7, 13, 12]]
8: [[9, 11], [5, 3], [1, 10], [4, 6, 2, 8], [7, 13, 12]]
9: [[9, 11], [5, 3], [1, 10], [4, 6, 2, 8], [7, 13, 12]]
10: [[9, 11], [5, 3], [1, 10, 4, 6, 2], [8, 7, 13], [12]]
11: [[9, 11], [5], [3, 1, 10, 4], [6, 2, 8, 7, 13, 12]]
12: [[9, 11], [5, 3, 1, 10], [4, 6], [2, 8, 7, 13, 12]]
13: [[9, 11, 5], [3, 1], [10, 4, 6, 2], [8, 7, 13, 12]]
14: [[9, 11], [5, 3, 1], [10, 4], [6, 2, 8, 7], [13, 12]]
15: [[9, 11], [5, 3], [1, 10], [4, 6], [2, 8, 7, 13, 12]]
16: [[9, 11], [5, 3, 1], [10, 4], [6, 2], [8, 7], [13, 12]]
17: [[9, 11], [5, 3], [1, 10, 4, 6], [2, 8, 7], [13, 12]]
18: [[9, 11], [5, 3], [1, 10, 4, 6, 2, 8, 7], [13, 12]]
19: [[9, 11], [5, 3, 1, 10, 4, 6, 2, 8, 7, 13], [12]]
20: [[9, 11, 5], [3, 1, 10], [4, 6, 2], [8, 7, 13, 12]]
21: [[9, 11, 5], [3, 1, 10, 4, 6, 2], [8, 7], [13, 12]]
22: [[9, 11], [5, 3, 1, 10], [4, 6, 2], [8, 7], [13, 12]]
23: [[9, 11], [5, 3], [1, 10], [4, 6, 2, 8, 7], [13, 12]]
24: [[9, 11], [5, 3], [1, 10], [4, 6, 2, 8, 7], [13, 12]]
25: [[9, 11], [5, 3], [1, 10], [4, 6, 2, 8, 7], [13, 12]]
26: [[9, 11], [5, 3], [1, 10], [4, 6], [2, 8, 7], [13, 12]]
27: [[9, 11], [5, 3], [1, 10], [4, 6], [2, 8, 7], [13, 12]]
