0: [[5, 3, 1], [4, 10, 6, 9, 2], [7, 8, 11, 13, 12]]
1: [[5, 3, 1], [4, 2, 10, 6, 9], [7, 8, 11, 13, 12]]
2: [[5, 3, 1], [4, 2, 10, 6, 9], [7, 8, 11, 13, 12]]
3: [[5, 3, 1], [4, 2, 10, 6, 9], [7, 8, 11, 13, 12]]
4: [[5, 3, 1], [4, 2, 10, 6, 9], [7, 8, 11, 13, 12]]
5: [[5, 3], [1, 4, 2, 10, 6, 9], [7, 8, 11, 13, 12]]
6: [[5, 3], [1, 4, 2, 10, 6, 9], [7, 8, 11, 13, 12]]
7: [[5, 3], [1, 4, 2, 10, 6, 9], [7, 8, 11, 13, 12]]
8: [[5, 3], [1, 4, 2, 10], [6, 9, 7, 8, 11, 13, 12]]
9: [[5, 3], [1, 4, 2, 10], [6, 9, 7, 8, 11, 13, 12]]
10: [[5, 3], [1, 4, 2, 10], [6, 9, 7, 8, 11, 13, 12]]
11: [[5, 3], [1, 4, 2, 10], [6, 9, 7, 8, 11, 13, 12]]
12: [[5, 3], [1, 4, 2, 10], [6, 9, 7, 8, 11, 13, 12]]
13: [[5, 3, 1, 4, 2, 10], [6, 9], [7, 8, 11, 13, 12]]
14: [[5, 3, 1], [4, 2, 10, 6], [9, 7, 8, 11, 13, 12]]
15: [[5, 3, 1], [4, 2, 10, 6], [9, 7, 8, 11, 13, 12]]
16: [[5, 3], [1, 4, 2, 10, 6], [9, 7, 8, 11, 13, 12]]
17: [[5, 3], [1, 4, 2, 10, 6], [9, 7, 8, 11, 13, 12]]
18: [[5, 3], [1, 4, 2, 10, 6], [9, 7, 8, 11, 13, 12]]
19: [[5, 3, 1, 4], [2, 10, 6, 9], [7, 8, 11, 13, 12]]
20: [[5, 3, 1, 4], [2, 10, 6], [9, 7, 8, 11, 13, 12]]
21: [[5, 3], [1, 4, 2], [10, 6, 9, 7, 8, 11, 13, 12]]
22: [[5, 3, 1, 4, 2], [10, 6], [9, 7, 8, 11, 13, 12]]
23: [[5, 3, 1, 4, 2], [10, 6], [9, 7, 8, 11, 13, 12]]
24: [[5, 3, 1, 4, 2], [10, 6], [9, 7, 8, 11, 13, 12]]
25: [[5, 3, 1], [4, 2], [10, 6, 9, 7, 8, 11, 13, 12]]
26: [[5, 3, 1, 4, 2, 10], [6, 9, 7], [8, 11, 13, 12]]
27: [[5, 3, 1, 4, 2, 10, 6], [9, 7], [8, 11, 13, 12]]
