0: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
1: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
2: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
3: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
4: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
5: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
6: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
7: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
8: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
9: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
10: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
11: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
12: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
13: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
14: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
15: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
16: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
17: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
18: [[6, 11, 13, 9, 4, 8], [3, 1], [10, 12, 2, 5, 7]]
19: [[6, 11, 13, 9], [4, 8], [3, 1, 10, 12, 2, 5, 7]]
20: [[6, 11, 13, 9, 4, 8, 3], [1, 10], [12, 2, 5, 7]]
21: [[6, 11, 13, 9, 4, 8, 3], [1, 10], [12, 2, 5, 7]]
22: [[6, 11, 13, 9, 4, 8, 3], [1, 10], [12, 2, 5, 7]]
23: [[6, 11, 13, 9, 4, 8, 3], [1, 10], [12, 2, 5, 7]]
24: [[6, 11, 13, 9, 4, 8, 3], [1, 10], [12, 2, 5, 7]]
25: [[6, 11, 13, 9, 4, 8, 3], [1, 10], [12, 2, 5, 7]]
26: [[6, 11, 13, 9, 4, 8, 3], [1, 10], [12, 2, 5, 7]]
27: [[6, 11, 13, 9, 4], [8, 3], [1, 10, 12, 2, 5, 7]]
